PROVINCE / LGU,economic_dynamism,government,infrastructure,resiliency,if_3_clusters,if_4_clusters,if_5_clusters,if_6_clusters,if_7_clusters,if_8_clusters,if_9_clusters,if_10_clusters
Apalit,4.6573,8.9093,6.1465,13.2915,1,1,1,1,1,1,1,1
Aparri,4.2291,9.4363,5.0677,13.3198,1,1,1,1,1,1,1,1
Araceli,3.8442,6.8958,2.8003,12.4193,1,1,2,4,4,4,4,4
Arakan,3.3572,9.1748,5.6359,13.2463,1,1,1,1,1,1,1,1
Arayat,4.344,9.6801,5.8269,13.3197,2,2,3,3,3,3,3,3
Argao,6.5455,10.1687,6.2089,13.5547,2,2,3,3,3,3,3,3
Aringay,4.8959,9.3087,4.976,13.891,1,1,1,1,1,1,1,1
Aritao,3.6874,9.3004,4.9311,13.4211,1,1,1,1,1,1,1,1
Aroroy,4.2791,7.556,5.6591,13.4839,1,1,1,1,1,1,1,1
Arteche,4.4236,9.2222,4.7666,12.8532,1,1,1,1,1,1,1,1
Asingan,4.8405,9.8235,5.0175,13.5805,1,1,1,1,1,1,1,1
Asipulo,4.9597,9.8887,5.6625,14.0159,2,2,3,3,3,3,3,3
Asturias,6.5084,8.0711,5.8397,13.4986,1,1,2,2,2,5,6,6
Asuncion,4.3912,9.4968,4.9998,13.3581,1,1,1,1,1,1,1,1
Atimonan,4.3932,8.7178,5.1835,13.6076,1,1,1,1,1,1,1,1
Atok,4.5591,6.929,4.3694,13.1054,1,1,2,2,2,2,2,2
Aurora (IA),4.2653,9.5265,6.1166,13.4923,2,2,3,3,3,3,3,3
Aurora (ZR),6.0644,9.7538,6.2003,13.3397,2,2,3,3,3,3,3,3
Ayungon,7.3833,6.533,4.9253,11.9708,1,1,2,2,2,5,6,6
Baao,4.0841,9.2104,5.6617,12.6381,1,1,1,1,1,1,1,1
Babatngon,4.9873,9.1708,4.6717,12.7785,1,1,1,1,1,1,1,1
Bacacay,3.5663,9.631,6.1534,13.6876,2,2,3,3,3,3,3,3
Bacarra,5.981,10.7208,6.23,14.0286,2,2,3,3,3,3,3,3
Baclayon,5.5612,6.6385,5.7696,10.7824,1,1,2,2,2,5,6,6
Bacnotan,5.4883,10.1318,4.9522,14.2823,1,1,1,1,1,1,1,1
Baco,4.739,10.0342,5.657,13.3738,2,2,3,3,3,3,3,3
Bacolod (LN),4.9509,8.7496,5.6885,13.5878,1,1,1,1,1,1,1,1
Bacolod (NO),6.183,11.2005,7.7226,13.5355,2,2,3,3,3,3,5,5
Bacolod-Kalawi,4.0662,8.2581,4.774,12.5474,1,1,1,1,1,1,1,1
Bacolor,6.0041,9.4169,6.0214,13.4543,2,2,3,3,3,3,3,3
Bacong,5.5806,4.1408,4.9535,9.8823,1,1,2,2,2,2,2,2
Bacoor,9.279,11.4593,9.1225,13.8925,2,4,5,6,6,7,8,8
Bacuag,5.8864,10.5422,6.3024,13.5431,2,2,3,3,3,3,3,3
Bacungan Leon B. Postigo,4.8188,7.4123,4.7214,12.9578,1,1,2,2,2,2,2,2
Badian,5.9662,9.0017,4.9818,13.6451,2,2,3,3,3,3,3,3
Badiangan,4.9071,9.2607,5.4892,11.6658,1,1,1,1,1,1,1,1
Badoc,4.8877,10.3857,5.6316,13.7976,2,2,3,3,3,3,3,3
Bagabag,3.0447,9.1262,3.8051,13.1459,1,1,2,4,4,4,4,4
Bagac,4.8484,9.4709,5.3197,13.3661,1,1,1,1,1,1,1,1
Bagamanoc,2.4789,7.6577,5.6053,12.5131,1,1,2,2,2,2,2,2
Baganga,4.6192,10.0706,5.5373,13.4993,2,2,3,3,3,3,3,3
Baggao,5.181,8.8641,4.2826,13.1553,1,1,1,1,1,1,1,1
Bago,4.0328,9.8006,5.3979,13.5239,1,1,1,1,1,1,1,1
Baguio,7.945,9.6504,5.2097,14.1123,2,2,3,3,3,3,3,3
Bagulin,5.6525,10.7132,5.9831,13.8351,2,2,3,3,3,3,3,3
Bagumbayan,5.626,9.5916,5.1877,13.3483,2,2,3,3,3,3,3,3
Bais,4.2088,7.6582,5.69,10.9152,1,1,1,1,1,1,1,1
Bakun,3.7364,7.1969,5.0263,11.0286,1,1,2,2,2,2,2,2
Balabac,3.5898,9.0165,3.5311,12.2726,1,1,2,4,4,4,4,4
Balabagan,4.4843,10.3682,4.7924,13.4704,1,1,1,1,1,1,1,1
Balagtas,5.81,10.2797,5.845,13.341,2,2,3,3,3,3,3,3
Balamban,6.3131,9.4598,6.2223,13.5552,2,2,3,3,3,3,3,3
Balangkayan,5.0491,6.8448,4.1059,10.293,3,3,4,5,5,6,7,7
Balangiga,4.9652,7.1881,5.2927,9.6294,3,3,4,5,5,6,7,7
Balanga,4.9033,9.6649,7.327,13.518,2,2,3,3,3,3,5,5
Balaoan,4.8605,9.2833,5.0031,13.581,1,1,1,1,1,1,1,1
Balasan,6.1075,10.4049,6.321,13.6482,2,2,3,3,3,3,3,3
Balatan,3.0695,7.2748,2.2686,11.0818,1,1,2,4,4,4,4,4
Balayan,5.1094,10.0798,5.5944,13.4275,2,2,3,3,3,3,3,3
Balbalan,4.0462,4.3044,4.738,13.339,1,1,2,2,2,2,2,2
Baleno,3.1215,4.7739,1.2249,11.5165,3,3,4,5,5,6,7,9
Baler,9.6035,11.1831,8.1431,13.885,2,4,5,6,6,7,8,8
Balete (AK),4.0095,7.9993,5.0512,10.8533,1,1,2,2,2,2,2,2
Balete (BS),4.9803,7.4026,6.4015,11.5384,1,1,2,2,2,5,6,6
Baliangao,3.2412,6.5255,5.023,12.5216,1,1,2,2,2,2,2,2
Baliguian,6.0018,7.4783,4.1395,9.3803,3,3,4,5,5,6,7,7
Balilihan,5.5771,8.6029,5.6651,11.5078,1,1,1,1,1,1,1,1
Balindong,3.7018,7.0378,3.2656,12.7367,1,1,2,4,4,4,4,4
Balingasag,4.8734,8.9193,5.8044,13.4015,1,1,1,1,1,1,1,1
Balingoan,8.2343,9.1425,5.7994,13.6775,2,2,3,3,3,3,3,3
Baliwag,8.8955,12.8887,10.5071,15.7329,2,4,5,6,6,7,8,8
Ballesteros,3.9446,9.265,4.0956,13.3126,1,1,2,4,4,4,4,4
Baloi,7.689,10.5192,4.7906,12.3746,2,2,3,3,3,3,3,3
Balud,3.2608,2.7885,4.0867000000000004,11.5314,1,1,2,2,2,2,2,2
Balungao,5.4567,9.2654,5.6213,14.6104,2,2,3,3,3,3,5,5
Bamban,2.8321,9.6008,5.2699,13.2073,1,1,1,1,1,1,1,1
Bambang,4.029,8.0722,6.3479,11.4051,1,1,1,1,1,1,1,1
Banate,5.4762,9.4792,5.7595,15.2972,2,2,3,3,3,3,5,5
Banaue,4.453,7.6241,4.6181,12.0934,1,1,2,2,2,2,2,2
Banaybanay,4.5967,7.5612,5.0693,12.2094,1,1,2,2,2,2,2,2
Banayoyo,4.0982,9.4831,3.6727,13.1823,1,1,2,4,4,4,4,4
Banga (AK),5.2774,8.5867,5.1626,13.2855,1,1,1,1,1,1,1,1
Banga (SC),5.0723,10.0739,5.4505,13.6507,2,2,3,3,3,3,3,3
Bangar,7.3539,10.4929,4.5504,13.878,2,2,3,3,3,3,3,3
Bangued,5.9544,9.4543,5.5348,12.3551,2,2,3,3,3,3,3,3
Bangui,5.3511,10.978,6.1785,14.1423,2,2,3,3,3,3,3,3
Bani,4.1965,7.5345,4.5392,13.4667,1,1,2,4,4,4,4,4
Banisilan,3.8218,8.7706,4.7961,13.2268,1,1,1,1,1,1,1,1
Banna,4.6755,10.1327,5.1014,13.954,1,1,1,1,1,1,1,1
Bansalan,5.0793,10.6825,6.0215,14.0036,2,2,3,3,3,3,3,3
Bansud,3.9365,4.7355,4.6685,13.3507,1,1,2,2,2,2,2,2
Bantay,8.8498,11.8332,7.4385,14.1023,2,2,3,3,3,3,5,5
Bantayan Island,5.604,9.7236,5.43,10.9265,2,2,3,3,3,3,3,3
Baras (CT),3.9172,9.1348,5.7078,13.1773,1,1,1,1,1,1,1,1
Baras (RL),6.5854,10.6618,5.9282,13.7701,2,2,3,3,3,3,3,3
Barbaza,4.0299,7.212,4.929,12.6104,1,1,2,2,2,2,2,2
Barcelona,5.7507,9.5645,5.7167,12.3215,2,2,3,3,3,3,3,3
Barili,5.2493,10.5646,5.0124,12.8282,1,1,1,1,1,1,1,1
Barira,3.3847,9.3893,4.4606,11.8857,1,1,2,4,4,4,4,4
Barlig,4.57,10.1365,4.6441,12.3044,1,1,1,1,1,1,1,1
Barobo,6.5952,8.7464,6.0196,13.2643,2,2,3,3,3,3,3,3
Barotac Nuevo,4.7712,9.5629,5.725,13.2926,2,2,3,3,3,3,3,3
Barotac Viejo,6.1555,9.7337,6.1838,13.676,2,2,3,3,3,3,3,3
Baroy,4.6523,8.7238,4.9371,11.3885,1,1,1,1,1,1,1,1
Barugo,5.5199,9.7563,5.4119,12.860900000000001,2,2,3,3,3,3,3,3
Basay,5.2457,9.6008,5.0384,12.4077,1,1,1,1,1,1,1,1
Basco,6.4448,12.0743,7.9015,10.3959,2,2,3,3,3,3,5,5
Basey,3.3462,9.5248,5.268,12.1466,1,1,1,1,1,1,1,1
Basilisa,4.7624,8.9365,4.6956,13.25,1,1,1,1,1,1,1,1
Basista,5.5488,9.4887,5.4336,15.8406,2,2,3,3,3,3,5,5
Basud (CN),3.4913,9.1314,6.3628,12.0612,1,1,1,1,1,1,1,1
Batac,4.4474,9.1539,6.2123,13.6787,1,1,1,1,1,1,1,1
Batad,5.3385,10.4374,6.9127,13.8633,2,2,3,3,3,3,5,5
Batan,4.2508,6.7463,4.9366,13.2441,1,1,2,2,2,2,2,2
Batangas,10.3217,12.2684,8.9481,13.8952,2,4,5,6,6,7,8,8
Bataraza,4.6575,10.0404,4.3641,13.9668,1,1,1,1,1,1,1,1
Bato (CS),2.0775,6.659,4.2073,9.6142,3,3,4,5,5,6,7,7
Bato (CT),4.9808,11.4749,8.5989,15.0298,2,2,3,3,3,3,5,5
Bato (LE),6.8213,10.1461,5.0563,12.8818,2,2,3,3,3,3,3,3
Batuan (BL),6.4771,10.6866,6.4629,12.7136,2,2,3,3,3,3,3,3
Batuan (MS),4.1743,6.9263,2.2219,12.6578,1,1,2,4,4,4,4,4
Bauan,5.9128,9.8793,6.2501,13.3797,2,2,3,3,3,3,3,3
Bauang,6.1464,11.0183,5.4821,14.2603,2,2,3,3,3,3,3,3
Bauko,5.8208,10.0776,4.9118,12.8945,1,1,1,1,1,1,1,1
Baungon,4.6684,5.7825,4.985,12.1002,1,1,2,2,2,2,2,2
Bautista,5.2236,9.9989,5.7387,13.9467,2,2,3,3,3,3,3,3
Bay,3.9705,8.593,4.9065,12.3937,1,1,1,1,1,1,1,1
Bayabas,5.539,9.1283,6.3595,12.5536,2,2,3,3,3,3,3,3
Bayambang,5.4372,10.6002,5.8221,14.3978,2,2,3,3,3,3,3,3
Bayang,3.4467,8.9743,1.542,13.3159,1,1,2,4,4,4,4,4
Bayawan,5.2609,10.0742,5.2984,13.586,2,2,3,3,3,3,3,3
Baybay,4.7666,8.1292,5.8865,13.4985,1,1,1,1,1,1,1,1
Bayog,5.2503,9.1704,0.9748,12.3733,1,1,2,4,4,4,4,4
Bayombong,4.3584,7.5413,6.1353,13.5014,1,1,1,1,1,1,1,1
Bayugan,6.3375,7.8645,6.9412,12.1162,2,2,3,3,3,3,3,3
Belison,6.2381,9.8394,5.6781,12.1373,2,2,3,3,3,3,3,3
Benito Soliven,3.3364,9.9861,5.5564,13.3637,1,1,1,1,1,1,1,1
Besao,4.537,9.3064,5.4208,12.3455,1,1,1,1,1,1,1,1
Bien Unido,5.2103,9.7302,4.2754,13.5503,1,1,1,1,1,1,1,1
Bilar,6.3037,9.1559,5.299,10.7877,2,2,3,3,3,3,3,3
Biliran,6.1061,8.3929,7.0474,12.7675,1,1,2,2,2,5,6,6
Binalbagan,4.3579,8.9203,5.0077,11.3935,1,1,1,1,1,1,1,1
Binalonan,4.6558,9.2031,5.3028,12.9231,1,1,1,1,1,1,1,1
Binan,9.3553,11.8966,8.6283,14.3235,2,4,5,6,6,7,8,8
Binangonan,7.3025,10.6494,7.4808,15.4071,2,2,3,3,3,3,5,5
Bindoy,5.3831,8.8261,5.3954,12.1824,1,1,2,2,2,5,6,6
Bingawan,5.8897,10.7392,4.9739,13.7091,2,2,3,3,3,3,3,3
Binidayan,2.9258,6.5538,2.1719,9.2592,3,3,4,5,5,6,7,9
Binmaley,4.5093,10.0306,5.2767,13.5078,1,1,1,1,1,1,1,1
Binuangan,4.9744,8.8921,5.5296,13.738,1,1,1,1,1,1,1,1
Biri,4.1352,8.391,5.3911,12.3144,1,1,1,1,1,1,1,1
Bislig,5.7518,7.4447,6.4829,13.4772,1,1,2,2,2,5,6,6
Boac,4.1327,9.0474,5.7339,13.3392,1,1,1,1,1,1,1,1
Bobon,3.7665,3.9571,4.2752,7.8902,3,3,4,5,5,6,7,7
Bocaue,5.9437,10.0757,6.2934,13.3497,2,2,3,3,3,3,3,3
Bogo,4.9269,9.444,5.916,12.4994,1,1,1,1,1,1,1,1
Bokod,5.2839,9.5755,5.4172,12.9215,2,2,3,3,3,3,3,3
Bolinao,4.5882,7.6102,5.5085,13.7066,1,1,1,1,1,1,1,1
Boliney,3.8048,4.2851,4.5166,10.5398,1,1,2,2,2,2,2,2
Boljoon,6.0244,9.33,6.4851,12.346,2,2,3,3,3,3,3,3
Bombon,2.8781,1.52,0.7232,0,3,3,4,5,7,8,9,10
Bongabon,3.7502,9.4989,5.378,12.8684,1,1,1,1,1,1,1,1
Bongabong,3.9518,9.142,6.2384,12.8372,1,1,1,1,1,1,1,1
Bongao,4.1501,6.3608,4.2385,11.2398,1,1,2,2,2,2,2,2
Bonifacio,4.3919,8.2387,5.6906,12.1674,1,1,1,1,1,1,1,1
Bontoc (MP),4.4234,8.8287,6.4951,13.4307,1,1,1,1,1,1,1,1
Bontoc (SL),5.4874,7.0807,4.3199,11.7158,1,1,2,2,2,2,2,2
Borbon,5.2372,5.2049,5.4765,12.1543,1,1,2,2,2,2,2,2
Borongan,6.9518,8.683,3.8757,13.2729,1,1,1,1,1,1,1,1
Boston,4.4132,8.111,5.0794,11.8076,1,1,1,1,1,1,1,1
Botolan,3.7054,9.0988,5.284,12.0262,1,1,1,1,1,1,1,1
Braulio E. Dujali,5.3962,9.8656,4.3146,13.2928,1,1,1,1,1,1,1,1
Buadiposo-Buntong,3.6008,8.1263,3.4674,11.3256,1,1,2,4,4,4,4,4
Bubong,3.7101,8.284,5.0561,12.2806,1,1,1,1,1,1,1,1
Bucay,6.8083,10.0655,5.563,13.5605,2,2,3,3,3,3,3,3
Bucloc,3.6096,8.1023,2.5252,6.7419,3,3,4,5,5,6,7,7
Buenavista (AN),5.6596,7.3342,5.7092,12.3097,1,1,2,2,2,5,6,6
Buenavista (BL),5.2638,9.9798,5.0953,13.4463,2,2,3,3,3,3,3,3
Buenavista (GS),4.8043,8.9771,5.5374,13.7212,1,1,1,1,1,1,1,1
Buenavista (ME),4.0788,8.0137,5.2838,13.5061,1,1,1,1,1,1,1,1
Buenavista (QN),6.5035,8.3168,4.7089,13.8961,1,1,2,2,2,5,6,6
Bugallon,4.4016,7.6063,5.1125,13.592,1,1,1,1,1,1,1,1
Bugasong,5.0548,9.3012,5.0689,13.3363,2,2,3,3,3,3,3,3
Buguey,4.7204,9.4415,4.8027,13.5238,1,1,1,1,1,1,1,1
Buguias,7.1184,10.4707,5.8073,12.865,2,2,3,3,3,3,3,3
Buhi,2.5659,6.6436,5.3061,13.249,1,1,2,2,2,2,2,2
Bula,2.8045,5.8653,4.913,11.6685,1,1,2,2,2,2,2,2
Bulakan,5.0276,7.7528,5.1842,13.151,1,1,2,2,2,5,6,6
Bulalacao,3.4818,8.5595,3.7449,12.3099,1,1,2,4,4,4,4,4
Bulan,4.0864,5.6036,4.4275,12.7481,1,1,2,2,2,2,2,2
Buldon,2.9998,9.4525,4.952,13.3576,1,1,1,1,1,1,1,1
Buluan,4.3723,7.9521,5.1368,13.3019,1,1,1,1,1,1,1,1
Bulusan,4.0309,7.3832,4.612,13.2589,1,1,2,4,4,4,4,4
Bumbaran,4.4898,8.7086,3.7252,13.2277,1,1,2,4,4,4,4,4
Bunawan,4.7637,9.2472,5.2037,10.7711,1,1,1,1,1,1,1,1
Burauen,4.8201,9.5683,5.2438,13.4151,1,1,1,1,1,1,1,1
Burdeos,3.7729,6.3133,5.8429,12.1872,1,1,2,2,2,2,2,2
Burgos (IA),2.8061,9.5601,5.3435,12.3589,1,1,1,1,1,1,1,1
Burgos (IN),5.6046,10.8984,7.0086,13.958,2,2,3,3,3,3,5,5
Burgos (IS),4.6579,8.9466,4.003,13.4403,1,1,2,4,4,4,4,4
Burgos (LU),4.5336,10.4406,4.7881,14.5584,1,1,1,1,1,1,1,1
Burgos (PS),5.0655,9.0757,5.4487,12.8228,2,2,3,3,3,3,3,3
Burgos (SN),5.0425,9.0583,5.3161,13.0986,2,2,3,3,3,3,3,3
Buruanga,4.4479,10.1487,5.9727,13.4308,2,2,3,3,3,3,3,3
Bustos,5.1533,9.0924,5.3951,13.1368,2,2,3,3,3,3,3,3
Busuanga,5.9518,9.4765,5.2721,13.5305,2,2,3,3,3,3,3,3
Butig,3.8674,8.0725,2.6672,11.1911,1,1,2,4,4,4,4,4
Butuan,5.9144,8.7635,4.9936,12.4966,1,1,1,1,1,1,1,1
Buug,6.8068,9.9861,5.2968,13.4398,2,2,3,3,3,3,3,3
Caba,4.8346,9.4261,5.1211,13.6938,1,1,1,1,1,1,1,1
Cabadbaran,4.9849,7.9125,6.0686,12.1833,1,1,2,2,2,5,6,6
Cabagan,2.8577,10.379,6.5242000000000004,13.3594,1,1,1,1,1,1,1,1
Cabanatuan,5.5625,8.0391,6.8024,12.0181,2,2,3,3,3,3,3,3
Cabangan,4.703,8.854,5.3985,13.4594,1,1,1,1,1,1,1,1
Cabanglasan,6.0915,9.5748,5.1945,13.4103,2,2,3,3,3,3,3,3
Cabarroguis,6.3066,10.372,6.3376,13.4175,2,2,3,3,3,3,3,3
Cabatuan (IA),5.1837,9.3698,6.3209,13.4866,2,2,3,3,3,3,3,3
Cabatuan (IO),5.0185,9.5791,5.9778,13.7346,2,2,3,3,3,3,3,3
Cabiao,3.7078,9.1125,5.599,13.3535,1,1,1,1,1,1,1,1
Cabucgayan,5.9926,9.6563,6.1285,12.9277,2,2,3,3,3,3,3,3
Cabugao,4.7586,9.6803,5.4058,13.5071,2,2,3,3,3,3,3,3
Cabusao,3.3576,6.1424,5.0631,12.6366,1,1,2,2,2,2,2,2
Cabuyao,8.8742,10.5618,8.3131,14.1612,2,4,5,6,6,7,8,8
Cadiz,4.0553,9.744,6.3263,11.7072,1,1,1,1,1,1,1,1
Cagayan De Oro,6.812,11.5028,9.4422,18.008,2,4,5,6,6,7,8,8
Cagayancillo,4.0328,5.7563,2.0322,11.3502,1,1,2,4,4,4,4,4
Cagdianao,5.0442,9.9322,4.1168,12.9669,1,1,1,1,1,1,1,1
Cagwait,6.1153,10.0749,5.506,13.4305,2,2,3,3,3,3,3,3
Caibiran,6.5854,9.8029,6.0846,11.7348,2,2,3,3,3,3,3,3
Cainta,12.8121,13.7738,9.6672,14.1275,2,4,5,6,6,7,8,8
Cajidiocan,4.963,5.8915,5.379,12.4431,1,1,2,2,2,2,2,2
Calabanga,2.9709,8.4366,4.9739,12.7174,1,1,1,1,1,1,1,1
Calaca,5.6663,9.2479,5.531,13.259,2,2,3,3,3,3,3,3
Calamba (LA),9.3722,10.0417,9.1331,14.0486,2,4,5,6,6,7,8,8
Calamba (MC),7.8261,10.5751,6.7623,13.4118,2,2,3,3,3,3,5,5
Calanasan,3.8753,7.6625,3.6602,12.0496,1,1,2,4,4,4,4,4
Calanogas,3.5602,10.2685,5.0853,13.2976,1,1,1,1,1,1,1,1
Calapan,6.5093,10.7023,8.4448,18.3055,2,4,5,6,6,7,8,8
Calape,6.7394,9.4735,5.8637,12.2185,2,2,3,3,3,3,3,3
Calasiao,5.6498,10.6644,6.286,14.2672,2,2,3,3,3,3,3,3
Calatagan,3.9648,6.4658,4.1105,13.3483,1,1,2,4,4,4,4,4
Calatrava (NO),3.8022,7.926,4.1738,11.2144,1,1,2,2,2,2,2,2
Calatrava (RN),4.5338,9.9275,5.2219,12.9204,1,1,1,1,1,1,1,1
Calauag,3.9048,7.2463,5.527,12.1531,1,1,2,2,2,2,2,2
Calauan,4.3005,6.9171,5.0959,13.134,1,1,2,2,2,2,2,2
Calayan,4.5849,6.6416,5.4329,11.0364,1,1,2,2,2,5,6,6
Calbayog,4.2922,9.0102,6.4975,13.4905,1,1,1,1,1,1,1,1
Calbiga,3.9335,8.5081,4.5544,13.4664,1,1,1,1,1,1,1,1
Calinog,4.5666,9.4849,5.2818,13.3722,1,1,1,1,1,1,1,1
Calintaan,5.1658,5.8595,4.4575,13.4033,1,1,2,2,2,2,2,2
Caloocan,5.0511,12.4574,6.5503,14.4174,2,2,3,3,3,3,3,3
Calumpit,5.3581,4.4215,4.2612,11.3109,1,1,2,2,2,2,2,2
Caluya,4.577,5.5113,3.8301,12.5414,1,1,2,2,2,2,2,2
Camalaniugan,4.4271,10.4763,5.7587,13.6835,2,2,3,3,3,3,3,3
Camalig,2.8423,8.7192,5.3121,12.1103,1,1,1,1,1,1,1,1
Camaligan,3.4222,9.7592,6.2453,10.9594,1,1,1,1,1,1,1,1
Camiling,4.25,8.3723,5.9388,13.464,1,1,1,1,1,1,1,1
Can-Avid,6.329,10.0533,5.3158,13.6937,2,2,3,3,3,3,3,3
Canaman,2.9849,9.7245,5.7409,12.8684,1,1,1,1,1,1,1,1
Candaba,3.6847,9.2827,5.4013,13.2319,1,1,1,1,1,1,1,1
Candelaria (QN),5.5016,10.8884,6.8716,13.393,2,2,3,3,3,3,5,5
