"","PLAYER","TEAM","POSITION","center","forward","guard","GP","MIN","2FGM","2FG%","3PM","3P%","FTM","FT%","%midrange","%3points","%inthepaint","DFGM","DIFF%","DEFLECTIONS","CONTESTED SHOTS","LOOSE BALLS RECOVERED","STL","AST","BLK","OREB","DREB","PCs","score"
"1136","Salah Mejri","DAL","C",TRUE,FALSE,FALSE,36,11.1,1.2,56.4,0.3,32.4,0.6,62.5,0,23.4,62.4,3.9,1.2,0.6,6.3,0.4,0.3,1,0.7,1,2.6,"others2",-1.557914
"1137","Sam Dekker","WAS","F",FALSE,TRUE,FALSE,47,16.8,2,51.4,0.4,30.6,0.6,60.9,4.2,19.9,66.2,3.3,3.6,1,4.7,1,0.8,1,0.1,1.1,2,"shooting1",-1.697778
"1138","Sam Dekker","WAS","F",FALSE,TRUE,FALSE,47,16.8,2,51.4,0.4,30.6,0.6,60.9,4.2,19.9,66.2,3.3,3.6,1,4.7,1,0.8,1,0.1,1.1,2,"shooting2",-1.315003
"1139","Sam Dekker","WAS","F",FALSE,TRUE,FALSE,47,16.8,2,51.4,0.4,30.6,0.6,60.9,4.2,19.9,66.2,3.3,3.6,1,4.7,1,0.8,1,0.1,1.1,2,"others1",0.84904
"1140","Sam Dekker","WAS","F",FALSE,TRUE,FALSE,47,16.8,2,51.4,0.4,30.6,0.6,60.9,4.2,19.9,66.2,3.3,3.6,1,4.7,1,0.8,1,0.1,1.1,2,"others2",0.5243167
"1141","Semi Ojeleye","BOS","F",FALSE,TRUE,FALSE,56,10.6,0.7,56.5,0.5,31.5,0.4,61.5,3.2,45.2,38.7,1.9,-0.2,0.2,2.6,0.3,0.2,0.4,0.1,0.4,1.1,"shooting1",-0.1723749
"1142","Semi Ojeleye","BOS","F",FALSE,TRUE,FALSE,56,10.6,0.7,56.5,0.5,31.5,0.4,61.5,3.2,45.2,38.7,1.9,-0.2,0.2,2.6,0.3,0.2,0.4,0.1,0.4,1.1,"shooting2",-1.937245
"1143","Semi Ojeleye","BOS","F",FALSE,TRUE,FALSE,56,10.6,0.7,56.5,0.5,31.5,0.4,61.5,3.2,45.2,38.7,1.9,-0.2,0.2,2.6,0.3,0.2,0.4,0.1,0.4,1.1,"others1",3.48074
"1144","Semi Ojeleye","BOS","F",FALSE,TRUE,FALSE,56,10.6,0.7,56.5,0.5,31.5,0.4,61.5,3.2,45.2,38.7,1.9,-0.2,0.2,2.6,0.3,0.2,0.4,0.1,0.4,1.1,"others2",-0.6741853
"1145","Seth Curry","POR","G",FALSE,FALSE,TRUE,74,18.9,1.3,46.3,1.5,45,0.6,84.6,16.2,58.3,17.9,2.8,-1.4,1.1,2.9,0.7,0.5,0.9,0.2,0.4,1.3,"shooting1",2.817833
"1146","Seth Curry","POR","G",FALSE,FALSE,TRUE,74,18.9,1.3,46.3,1.5,45,0.6,84.6,16.2,58.3,17.9,2.8,-1.4,1.1,2.9,0.7,0.5,0.9,0.2,0.4,1.3,"shooting2",-0.358403
"1147","Seth Curry","POR","G",FALSE,FALSE,TRUE,74,18.9,1.3,46.3,1.5,45,0.6,84.6,16.2,58.3,17.9,2.8,-1.4,1.1,2.9,0.7,0.5,0.9,0.2,0.4,1.3,"others1",1.952341
"1148","Seth Curry","POR","G",FALSE,FALSE,TRUE,74,18.9,1.3,46.3,1.5,45,0.6,84.6,16.2,58.3,17.9,2.8,-1.4,1.1,2.9,0.7,0.5,0.9,0.2,0.4,1.3,"others2",0.2213431
"1149","Shabazz Napier","BKN","G",FALSE,FALSE,TRUE,56,17.6,1.7,44.9,1.4,33.3,2.1,83.3,9.1,43.1,26.1,3.6,0.4,1.5,3.4,0.7,0.7,2.6,0.3,0.3,1.5,"shooting1",1.461727
"1150","Shabazz Napier","BKN","G",FALSE,FALSE,TRUE,56,17.6,1.7,44.9,1.4,33.3,2.1,83.3,9.1,43.1,26.1,3.6,0.4,1.5,3.4,0.7,0.7,2.6,0.3,0.3,1.5,"shooting2",0.08995397
"1151","Shabazz Napier","BKN","G",FALSE,FALSE,TRUE,56,17.6,1.7,44.9,1.4,33.3,2.1,83.3,9.1,43.1,26.1,3.6,0.4,1.5,3.4,0.7,0.7,2.6,0.3,0.3,1.5,"others1",1.067635
"1152","Shabazz Napier","BKN","G",FALSE,FALSE,TRUE,56,17.6,1.7,44.9,1.4,33.3,2.1,83.3,9.1,43.1,26.1,3.6,0.4,1.5,3.4,0.7,0.7,2.6,0.3,0.3,1.5,"others2",0.9736467
"1153","Shai Gilgeous-Alexander","LAC","G",FALSE,FALSE,TRUE,82,26.5,3.5,50.3,0.6,36.7,1.9,80,16.2,17.2,49,4.5,-0.8,1.9,6.9,1.2,1.2,3.3,0.5,0.7,2.1,"shooting1",-0.5089973
"1154","Shai Gilgeous-Alexander","LAC","G",FALSE,FALSE,TRUE,82,26.5,3.5,50.3,0.6,36.7,1.9,80,16.2,17.2,49,4.5,-0.8,1.9,6.9,1.2,1.2,3.3,0.5,0.7,2.1,"shooting2",0.7732152
"1155","Shai Gilgeous-Alexander","LAC","G",FALSE,FALSE,TRUE,82,26.5,3.5,50.3,0.6,36.7,1.9,80,16.2,17.2,49,4.5,-0.8,1.9,6.9,1.2,1.2,3.3,0.5,0.7,2.1,"others1",-1.280507
"1156","Shai Gilgeous-Alexander","LAC","G",FALSE,FALSE,TRUE,82,26.5,3.5,50.3,0.6,36.7,1.9,80,16.2,17.2,49,4.5,-0.8,1.9,6.9,1.2,1.2,3.3,0.5,0.7,2.1,"others2",1.241459
"1157","Shake Milton","PHI","G",FALSE,FALSE,TRUE,20,13.4,1,46.5,0.7,31.8,0.3,71.4,11.5,48.3,34.5,2.1,4,0.5,2.7,0.3,0.4,0.9,0.4,0.5,1.3,"shooting1",0.8419047
"1158","Shake Milton","PHI","G",FALSE,FALSE,TRUE,20,13.4,1,46.5,0.7,31.8,0.3,71.4,11.5,48.3,34.5,2.1,4,0.5,2.7,0.3,0.4,0.9,0.4,0.5,1.3,"shooting2",-1.497943
"1159","Shake Milton","PHI","G",FALSE,FALSE,TRUE,20,13.4,1,46.5,0.7,31.8,0.3,71.4,11.5,48.3,34.5,2.1,4,0.5,2.7,0.3,0.4,0.9,0.4,0.5,1.3,"others1",2.834168
"1160","Shake Milton","PHI","G",FALSE,FALSE,TRUE,20,13.4,1,46.5,0.7,31.8,0.3,71.4,11.5,48.3,34.5,2.1,4,0.5,2.7,0.3,0.4,0.9,0.4,0.5,1.3,"others2",-0.2705719
"1161","Shaquille Harrison","CHI","G",FALSE,FALSE,TRUE,73,19.6,2.2,47.8,0.3,27,1.1,66.7,0.8,15.2,66.7,3.8,0.2,2,5.2,1.1,1.2,1.9,0.4,0.5,2.6,"shooting1",-1.873478
"1162","Shaquille Harrison","CHI","G",FALSE,FALSE,TRUE,73,19.6,2.2,47.8,0.3,27,1.1,66.7,0.8,15.2,66.7,3.8,0.2,2,5.2,1.1,1.2,1.9,0.4,0.5,2.6,"shooting2",-1.097911
"1163","Shaquille Harrison","CHI","G",FALSE,FALSE,TRUE,73,19.6,2.2,47.8,0.3,27,1.1,66.7,0.8,15.2,66.7,3.8,0.2,2,5.2,1.1,1.2,1.9,0.4,0.5,2.6,"others1",-0.5522073
"1164","Shaquille Harrison","CHI","G",FALSE,FALSE,TRUE,73,19.6,2.2,47.8,0.3,27,1.1,66.7,0.8,15.2,66.7,3.8,0.2,2,5.2,1.1,1.2,1.9,0.4,0.5,2.6,"others2",1.333347
"1165","Shaun Livingston","GSW","G",FALSE,FALSE,TRUE,64,15.1,1.7,52.4,0,0,0.6,78.4,21.7,0,62.8,2.2,-2.9,0.7,3.2,0.4,0.5,1.8,0.4,0.7,1.2,"shooting1",-2.907145
"1166","Shaun Livingston","GSW","G",FALSE,FALSE,TRUE,64,15.1,1.7,52.4,0,0,0.6,78.4,21.7,0,62.8,2.2,-2.9,0.7,3.2,0.4,0.5,1.8,0.4,0.7,1.2,"shooting2",-0.8282166
"1167","Shaun Livingston","GSW","G",FALSE,FALSE,TRUE,64,15.1,1.7,52.4,0,0,0.6,78.4,21.7,0,62.8,2.2,-2.9,0.7,3.2,0.4,0.5,1.8,0.4,0.7,1.2,"others1",2.130115
