"","PLAYER","TEAM","POSITION","center","forward","guard","GP","MIN","2FGM","2FG%","3PM","3P%","FTM","FT%","%midrange","%3points","%inthepaint","DFGM","DIFF%","DEFLECTIONS","CONTESTED SHOTS","LOOSE BALLS RECOVERED","STL","AST","BLK","OREB","DREB","PCs","score"
"1218","Terrance Ferguson","OKC","G",FALSE,FALSE,TRUE,74,26.1,1.1,56.1,1.4,36.3,0.5,72.5,3.5,62,27.3,4.3,0.9,0.8,6.8,0.6,0.5,1,0.2,0.4,1.5,"shooting2",-1.188738
"1219","Terrance Ferguson","OKC","G",FALSE,FALSE,TRUE,74,26.1,1.1,56.1,1.4,36.3,0.5,72.5,3.5,62,27.3,4.3,0.9,0.8,6.8,0.6,0.5,1,0.2,0.4,1.5,"others1",1.252549
"1220","Terrance Ferguson","OKC","G",FALSE,FALSE,TRUE,74,26.1,1.1,56.1,1.4,36.3,0.5,72.5,3.5,62,27.3,4.3,0.9,0.8,6.8,0.6,0.5,1,0.2,0.4,1.5,"others2",-0.3827829
"1221","Terry Rozier","BOS","G",FALSE,FALSE,TRUE,79,22.7,1.8,42.4,1.5,35.3,0.9,78.5,6.5,50.4,32.8,3.6,0.8,1.2,3.5,0.8,0.9,2.9,0.3,0.4,3.5,"shooting1",1.578365
"1222","Terry Rozier","BOS","G",FALSE,FALSE,TRUE,79,22.7,1.8,42.4,1.5,35.3,0.9,78.5,6.5,50.4,32.8,3.6,0.8,1.2,3.5,0.8,0.9,2.9,0.3,0.4,3.5,"shooting2",-0.6531577
"1223","Terry Rozier","BOS","G",FALSE,FALSE,TRUE,79,22.7,1.8,42.4,1.5,35.3,0.9,78.5,6.5,50.4,32.8,3.6,0.8,1.2,3.5,0.8,0.9,2.9,0.3,0.4,3.5,"others1",0.4404322
"1224","Terry Rozier","BOS","G",FALSE,FALSE,TRUE,79,22.7,1.8,42.4,1.5,35.3,0.9,78.5,6.5,50.4,32.8,3.6,0.8,1.2,3.5,0.8,0.9,2.9,0.3,0.4,3.5,"others2",0.9411304
"1225","Thabo Sefolosha","UTA","F",FALSE,TRUE,FALSE,50,12.2,0.7,51.5,0.7,43.6,0.3,63.6,6.3,53.7,32.6,1.8,-3.3,1.3,2.2,0.6,0.9,0.5,0.1,0.2,2.3,"shooting1",1.109487
"1226","Thabo Sefolosha","UTA","F",FALSE,TRUE,FALSE,50,12.2,0.7,51.5,0.7,43.6,0.3,63.6,6.3,53.7,32.6,1.8,-3.3,1.3,2.2,0.6,0.9,0.5,0.1,0.2,2.3,"shooting2",-1.745746
"1227","Thabo Sefolosha","UTA","F",FALSE,TRUE,FALSE,50,12.2,0.7,51.5,0.7,43.6,0.3,63.6,6.3,53.7,32.6,1.8,-3.3,1.3,2.2,0.6,0.9,0.5,0.1,0.2,2.3,"others1",1.942211
"1228","Thabo Sefolosha","UTA","F",FALSE,TRUE,FALSE,50,12.2,0.7,51.5,0.7,43.6,0.3,63.6,6.3,53.7,32.6,1.8,-3.3,1.3,2.2,0.6,0.9,0.5,0.1,0.2,2.3,"others2",0.6194174
"1229","Thaddeus Young","IND","F",FALSE,TRUE,FALSE,81,30.7,4.8,56.4,0.6,34.9,1.1,64.4,2.1,14.9,74.4,5.6,-1.4,3.3,9.3,1.2,1.5,2.5,0.4,2.4,4.1,"shooting1",-2.299036
"1230","Thaddeus Young","IND","F",FALSE,TRUE,FALSE,81,30.7,4.8,56.4,0.6,34.9,1.1,64.4,2.1,14.9,74.4,5.6,-1.4,3.3,9.3,1.2,1.5,2.5,0.4,2.4,4.1,"shooting2",0.1160142
"1231","Thaddeus Young","IND","F",FALSE,TRUE,FALSE,81,30.7,4.8,56.4,0.6,34.9,1.1,64.4,2.1,14.9,74.4,5.6,-1.4,3.3,9.3,1.2,1.5,2.5,0.4,2.4,4.1,"others1",-3.684152
