"","PLAYER","TEAM","POSITION","center","forward","guard","GP","MIN","2FGM","2FG%","3PM","3P%","FTM","FT%","%midrange","%3points","%inthepaint","DFGM","DIFF%","DEFLECTIONS","CONTESTED SHOTS","LOOSE BALLS RECOVERED","STL","AST","BLK","OREB","DREB","shooting1","shooting2","others1","others2","extreme","label"
"151","Henry Ellenson","NYK","F",FALSE,TRUE,FALSE,19,13.6,1.2,38.6,0.9,44.7,1,76,8.8,44.7,29.8,3,7.3,0.3,4.4,0.3,0.4,0.8,0.1,0.3,3.2,1.80610234741451,-0.930510335712815,2.46247391031598,-0.2251823521527,FALSE,""
"152","Ian Clark","NOP","G",FALSE,FALSE,TRUE,60,16.2,1.4,47,1.1,32.7,0.6,89.2,10.5,49.4,31.9,3.2,9.2,0.6,3.2,0.4,0.4,1.6,0.1,0.2,1.3,1.43013700901601,-0.619816923682515,2.71988235778445,0.681273567066324,FALSE,""
"153","Ian Mahinmi","WAS","C",TRUE,FALSE,FALSE,34,14.6,1.3,49.4,0.1,18.8,1.2,68.9,0,6.5,63.3,4.2,4.6,1.4,5.7,0.3,0.7,0.7,0.5,1.4,2.4,-2.36370120820461,-1.4039663213121,0.599442932226023,-0.625935104919382,FALSE,""
"154","Iman Shumpert","HOU","G",FALSE,FALSE,TRUE,62,23.9,1.2,41.6,1.5,34.8,0.6,80,14.6,61.3,16.3,4,5.8,1.9,3.8,1,1,1.8,0.4,0.4,2.5,2.61897254990183,-0.824914070515545,0.100474650145734,1.60046351437614,FALSE,""
"155","Isaac Humphries","ATL","C",TRUE,FALSE,FALSE,5,11.3,0.6,30,0.6,27.3,0,0,0,60,40,3,4,1.2,3.4,0,0.2,0,0,0.8,1.4,-0.109288940810486,-4.5132087846128,2.93529729078662,-0.483079455110819,FALSE,""
"156","Isaiah Briscoe","ORL","G",FALSE,FALSE,TRUE,39,14.3,1.1,42.3,0.3,32.4,0.4,57.7,14.7,24.3,50,2.5,-1.4,0.6,3,0.3,0.3,2.2,0.1,0.1,1.8,-0.487949672151757,-1.69075255053826,2.71241350258454,-0.0459861774571464,FALSE,""
"157","Isaiah Canaan","MIL","G",FALSE,FALSE,TRUE,30,20.9,1,44.1,1.1,35.4,0.6,79.2,8.8,56.4,24.3,3.7,4.5,0.8,2.8,0.9,0.5,2.8,0.1,0.2,1.7,1.88851561092012,-1.14833096415724,1.63633231878366,1.19876772544139,FALSE,""
"158","Isaiah Thomas","DEN","G",FALSE,FALSE,TRUE,12,15.1,1.8,40.7,1,27.9,1.4,63,12.4,37.1,33,1.8,-10.6,0.8,1.9,0.5,0.4,1.9,0.1,0.4,0.7,0.532883474623585,-0.888227823253921,2.61383290130523,-0.293016758536478,FALSE,""
"159","Ish Smith","DET","G",FALSE,FALSE,TRUE,56,22.3,2.9,45.4,0.8,32.6,0.8,75.8,18.8,26.3,45.5,3.7,1.9,0.8,4.3,0.9,0.5,3.6,0.2,0.4,2.2,0.0347192182441698,-0.0894871744812583,1.00361131885268,0.796135678643724,FALSE,""
"160","Ivan Rabb","MEM","F",FALSE,TRUE,FALSE,49,14.7,2.3,57.4,0.1,20,1,71,9.2,3.2,70.4,3.8,6.2,0.6,5.3,0.5,0.3,1.1,0.3,1.4,2.8,-2.83861315593435,-0.635684116372473,1.31687417415025,-0.830154695450305,FALSE,""
"161","J.J. Barea","DAL","G",FALSE,FALSE,TRUE,38,19.8,3.2,47.9,1,29.7,1.4,70.5,18.3,27.5,41,3,3.8,0.7,2.2,0.8,0.6,5.6,0,0.3,2.2,-0.0824929611752223,0.189273057626488,1.51402011979326,1.87036524030443,FALSE,""
"162","Jabari Parker","WAS","F",FALSE,TRUE,FALSE,64,26.9,4.8,55.9,1,31.4,2,71.2,12.3,19.7,54,5.4,1.6,1,7,1,0.7,2.4,0.5,1.2,5.3,-1.21470413553547,1.05352121183379,-1.21075606064649,-0.48414682501504,FALSE,""
"163","Jae Crowder","UTA","F",FALSE,TRUE,FALSE,80,27.1,1.8,52,2.1,32.8,1.8,72.1,5.7,54.6,24.8,3.8,-2.6,1.2,5.6,1,0.8,1.7,0.4,0.8,4.1,1.56934849409607,-0.100844082748171,-0.292977227414125,-0.105019524017003,FALSE,""
"164","Jahlil Okafor","NOP","C",TRUE,FALSE,FALSE,59,15.8,3.6,59.1,0,20,1,66.3,2.9,0.6,84.3,4.5,-1.7,0.3,7.1,0.4,0.3,0.7,0.7,1.4,3.3,-3.78135184511527,-0.514421649779629,0.558927252140942,-2.37399402127973,FALSE,""
"165","JaKarr Sampson","CHI","F",FALSE,TRUE,FALSE,4,31.8,6,61.5,1.3,35.7,4.3,81,10,18.8,50,5.3,-4.7,1.8,9.8,0.8,1,1,0.8,1.3,6.8,-1.09354725856666,2.94150395287492,-2.53668373213479,-1.50198402494823,FALSE,""
"166","Jake Layman","POR","F",FALSE,TRUE,FALSE,71,18.7,2.2,64.6,0.8,32.6,0.7,70.4,5.9,32.7,52.1,2.9,2.6,0.9,4.1,0.6,0.4,0.7,0.4,0.8,2.3,-0.995822348272795,-0.592477237584484,1.6314944826128,-0.418116688004328,FALSE,""
"167","Jalen Brunson","DAL","G",FALSE,FALSE,TRUE,73,21.8,2.7,52.2,0.9,34.8,1.2,72.5,10.6,27.9,48.7,4.2,3.2,0.9,4.1,0.7,0.5,3.2,0.1,0.3,2,-0.348348780488833,-0.126315016787972,1.28845500019656,0.834377832939339,FALSE,""
"168","Jalen Jones","CLE","F",FALSE,TRUE,FALSE,16,13.4,1,47.1,0.6,35.7,1.2,70.4,2.5,37,37,2.8,9.2,0.6,4.5,0.3,0.6,0.4,0.1,0.7,1.4,0.345559661791591,-1.27025092907474,2.51954141225059,0.134180445734456,FALSE,""
"169","Jamal Crawford","PHX","G",FALSE,FALSE,TRUE,64,18.9,1.7,45.3,1.1,33.2,1.5,84.5,24.4,39.6,17.7,2.4,7.5,0.6,1.9,0.4,0.5,3.6,0.2,0.1,1.2,1.76393330435969,0.228583105857101,2.70556600713072,1.28644974633948,FALSE,""
"170","Jamal Murray","DEN","G",FALSE,FALSE,TRUE,75,32.6,4.8,47.6,2,36.7,2.5,84.8,16.7,33.4,36.1,4.5,0.3,1.6,6.5,1.3,0.9,4.8,0.4,0.9,3.4,1.02646452334627,1.97270273424068,-1.378977469394,1.23630396599886,FALSE,""
"171","James Ennis III","PHI","F",FALSE,TRUE,FALSE,58,21.2,1.4,60.1,0.9,35.3,1,71.6,1.5,42.4,41.1,3.8,6.3,1.5,4.3,0.8,0.7,0.7,0.4,1,2.1,-0.0497755034544633,-0.916373601142985,0.710009091000676,0.440109362892706,FALSE,""
