"","PLAYER","TEAM","POSITION","center","forward","guard","GP","MIN","2FGM","2FG%","3PM","3P%","FTM","FT%","%midrange","%3points","%inthepaint","DFGM","DIFF%","DEFLECTIONS","CONTESTED SHOTS","LOOSE BALLS RECOVERED","STL","AST","BLK","OREB","DREB","shooting1","shooting2","others1","others2","extreme","label"
"215","Josh Jackson","PHX","F",FALSE,TRUE,FALSE,79,25.2,3.5,44.6,0.9,32.4,1.8,67.1,11,24.1,49.2,4.7,1.5,1.4,6.2,0.8,0.9,2.3,0.7,0.8,3.6,-0.467642970600767,0.123407059677396,-0.704440332984672,0.0225036387981968,FALSE,""
"216","Josh Okogie","MIN","G",FALSE,FALSE,TRUE,74,23.7,1.8,46.4,0.8,27.9,1.6,72.8,8.4,31.6,39.3,4.9,3.3,2.1,5.8,0.8,1.2,1.2,0.4,0.6,2.4,-0.0103944952902064,-0.585638499971359,-0.513476572097735,1.03838683938329,FALSE,""
"217","Josh Richardson","MIA","G-F",FALSE,TRUE,TRUE,73,34.8,3.5,45.7,2.3,35.7,2.7,86.1,13.1,40.7,29.8,5.7,-0.3,2.5,8.1,1.4,1.1,4.1,0.5,0.7,2.9,1.68717390631759,1.57676678867096,-2.39844882452793,1.55339348106337,FALSE,""
"218","JR Smith","CLE","G-F",FALSE,TRUE,TRUE,11,20.2,1.4,37.5,1.1,30.8,0.7,80,21.6,48.6,18.9,3.9,10.4,1.3,2.8,0.7,1,1.9,0.3,0,1.6,2.10716474005773,-0.686252600710069,1.33899355305065,1.89017319366455,FALSE,""
"219","Jrue Holiday","NOP","G",FALSE,FALSE,TRUE,67,35.8,6.4,53.9,1.8,32.5,3.1,76.8,7.7,24.9,52.7,7.5,0.4,3.1,8.6,1.5,1.6,7.7,0.8,1.1,3.9,-0.716443084580625,2.32333507939209,-4.7756592508821,2.5827690102562,FALSE,""
"220","Juancho Hernangomez","DEN","F",FALSE,TRUE,FALSE,70,19.4,1,54.5,0.9,36.5,0.9,76.7,2.5,48.5,32.8,3.4,-2.6,0.7,5.8,0.6,0.4,0.8,0.3,0.9,2.9,0.793710330727926,-1.07097745970971,1.1319375772017,-1.11164751784885,FALSE,""
"221","Julian Washburn","MEM","F-G",FALSE,TRUE,TRUE,18,14.1,0.6,45.8,0.3,20.8,0.2,75,20,37.5,35,2.7,-0.4,0.8,2.9,0.6,0.7,0.8,0.1,0.4,1.8,0.198158401708967,-1.55578454102834,2.05413016065013,0.270665628638507,FALSE,""
"222","Julius Randle","NOP","C-F",TRUE,TRUE,FALSE,73,30.6,6.9,56.4,0.9,34.4,4.9,73.1,2.9,12.8,61.5,6,-1.8,1.1,9.7,1.2,0.7,3.1,0.6,2.2,6.5,-2.03711288594367,2.85167616135801,-2.86681139341622,-1.37721018390353,FALSE,""
"223","Justin Holiday","MEM","F-G",FALSE,TRUE,TRUE,82,31.8,1.7,44.6,1.9,34.3,1.2,89.6,10.5,56.7,21.7,5.1,0,2.3,7.3,1,1.5,1.8,0.4,0.6,3.4,2.42717431695135,-0.00903678818949063,-1.6679634799274,1.2063846370643,FALSE,""
"224","Justin Jackson","DAL","F",FALSE,TRUE,FALSE,81,19.9,1.6,54.4,1.1,35.5,0.8,78.5,7.9,44.8,36.7,3.6,0.6,0.4,4.6,0.7,0.4,1.2,0.2,0.5,2.1,0.703339862732026,-0.60704324548226,1.70666818011119,-0.382889590540939,FALSE,""
"225","Justise Winslow","MIA","F-G",FALSE,TRUE,TRUE,66,29.7,3.5,46.2,1.4,37.5,1.3,62.8,9.4,34.7,45.5,5.1,-1.4,1.6,6.7,1.3,1.1,4.3,0.3,1,4.4,0.215165175293034,-0.0479213067065752,-1.87594431911233,1.07262473662021,FALSE,""
"226","Jusuf Nurkic","POR","C",TRUE,FALSE,FALSE,72,27.4,5.8,52.3,0,10.3,3.9,77.3,8,0.8,66.1,7.2,-5.4,1.8,12.8,1.1,1,3.2,1.4,3.4,7,-3.40021788360332,1.63493015995599,-5.37292061381272,-2.80944100322259,TRUE,"Jusuf Nurkic"
"227","Kadeem Allen","NYK","G",FALSE,FALSE,TRUE,19,21.9,2.5,46.2,0.9,47.2,2.2,77.8,9.5,27,41.3,3.4,2.5,1.5,3.8,0.9,0.8,4,0.2,0.4,2.3,0.649173654066987,0.432209110408581,0.531534392913734,1.63745787756754,FALSE,""
"228","Karl-Anthony Towns","MIN","C",TRUE,FALSE,FALSE,77,33,7,56.1,1.8,40,4.9,83.6,7.9,22.7,49.5,8.3,-0.3,1.6,14.7,1.4,0.9,3.4,1.6,3.4,9,-0.467371452899071,3.66673590228183,-6.5167806065949,-2.99926901259761,TRUE,"Karl-Anthony Towns"
"229","Kawhi Leonard","TOR","F",FALSE,TRUE,FALSE,60,34,7.5,54.2,1.9,37.1,6.1,85.4,19,21.1,37.1,4.6,-2,3.2,7.1,1.7,1.8,3.3,0.4,1.3,6,-0.00698058873542889,4.71444953856928,-3.88938599513652,2.19336178631398,FALSE,""
"230","Keita Bates-Diop","MIN","F",FALSE,TRUE,FALSE,30,16.8,1.6,52.2,0.4,25,0.6,64.3,5.3,25.8,57,3.3,-1.9,1.1,5.3,0.4,0.6,0.6,0.5,0.5,2.2,-1.39133820756598,-1.44716404694488,1.26210648707255,-0.734345264731473,FALSE,""
"231","Kelly Olynyk","MIA","F",FALSE,TRUE,FALSE,79,22.9,1.9,60.4,1.4,35.4,1.9,82.2,3.8,43.1,33.8,4.6,0,1.5,6.9,0.7,0.7,1.8,0.5,0.9,3.8,0.576339582463351,0.19657846204888,-0.450784643491995,-0.381338446994469,FALSE,""
"232","Kelly Oubre Jr.","PHX","F",FALSE,TRUE,FALSE,69,28,3.9,53.1,1.6,32,2.7,77.5,5,30.9,46,4.7,0.9,3,6.4,0.8,1.2,1.2,0.9,1,3.7,-0.184845188042816,1.12104996883051,-1.82100228448957,0.517488423592579,FALSE,""
"233","Kemba Walker","CHA","G",FALSE,FALSE,TRUE,82,34.9,5.7,49.4,3.2,35.6,4.6,84.4,12.1,37.1,32.7,6.5,1.5,1.9,7.2,1.6,1.2,5.9,0.4,0.6,3.8,1.42473279087554,3.52298791339253,-2.75681171372066,2.1569223147293,FALSE,""
"234","Kenneth Faried","HOU","F-C",TRUE,TRUE,FALSE,37,19.7,4,61.7,0.2,32,1.7,64.6,3.1,6.3,74,5,2.9,0.8,6.5,0.8,0.5,0.5,0.6,2.6,4.1,-2.94761478572892,0.130025688183656,-0.683334330326603,-1.84682504978488,FALSE,""
"235","Kenrich Williams","NOP","G-F",FALSE,TRUE,TRUE,46,23.5,1.2,45.5,1.1,33.3,0.3,68.4,2.2,55.9,37.3,5,6.5,1.7,6.1,1,1,1.8,0.4,1.2,3.6,1.01343285848067,-1.69442722731698,-0.913612804082209,0.739288163791388,FALSE,""
"236","Kent Bazemore","ATL","G",FALSE,FALSE,TRUE,67,24.5,2.7,46.5,1.4,32,1.9,72.6,10.5,37,36.2,5,4.8,2.1,5.2,1.4,1.3,2.3,0.6,0.6,3.3,0.596712232019332,0.153665050820907,-1.56899834307257,1.77975511195599,FALSE,""
"237","Kentavious Caldwell-Pope","LAL","G",FALSE,FALSE,TRUE,82,24.8,2.1,54.2,1.8,34.6,1.7,86.7,12.6,48.3,24.5,4.5,5.8,1.3,3.3,1,0.9,1.3,0.2,0.6,2.3,1.62201605292529,0.546015435241342,0.57294741446222,1.21011440009281,FALSE,""
"238","Kevin Durant","GSW","F",FALSE,TRUE,FALSE,78,34.6,7.5,58.8,1.7,35.2,5.7,88.5,25.1,20.3,32.6,5.1,-3.5,1.5,7.8,1,0.7,5.9,1.1,0.4,5.9,-0.0673044522895709,4.78229803522158,-2.32811136519582,-0.0546613453821172,FALSE,""
"239","Kevin Huerter","ATL","G",FALSE,FALSE,TRUE,75,27.3,1.9,45.7,1.8,38.4,0.5,73.2,3.3,56.1,34.9,4.9,4.8,1.6,5.8,1.1,0.9,2.9,0.3,0.8,2.5,1.65203032489713,-0.855571014493216,-0.535624839020723,1.2311780398061,FALSE,""
"240","Kevin Knox II","NYK","F",FALSE,TRUE,FALSE,75,28.8,2.9,38.9,1.7,35.1,2.2,71.7,8.5,38.9,35.7,4.3,1.7,0.8,6.8,0.9,0.6,1.1,0.3,0.8,3.7,1.14566670780873,0.278242688053754,0.194928913296423,-0.451093821339885,FALSE,""
"241","Kevin Love","CLE","F-C",TRUE,TRUE,FALSE,22,27.2,2.5,41.2,2.4,36.1,4.7,90.4,5.9,42.5,24.1,5,-2.6,0.3,5.8,0.7,0.3,2.2,0.2,1.5,9.4,2.13983360717432,1.98406534237486,-0.820006371401748,-1.89867321936273,FALSE,""
"242","Kevon Looney","GSW","C-F",TRUE,TRUE,FALSE,80,18.5,2.7,64.1,0,10,0.8,61.9,9.2,0.6,77.2,5,-3.8,0.7,9.3,0.8,0.6,1.5,0.7,2.4,2.8,-4.0357497865095,-0.872406584653817,-1.12591928915778,-2.24772941929392,FALSE,""
"243","Khem Birch","ORL","C",TRUE,FALSE,FALSE,50,12.9,1.8,61.1,0,0,1.2,69.9,1.7,0,74.2,3.1,-1.3,0.7,4.8,0.6,0.4,0.8,0.6,1.6,2.2,-4.13131877475603,-1.19734553028264,1.01725817184064,-1.41905640997141,FALSE,""
"244","Khris Middleton","MIL","F",FALSE,TRUE,FALSE,77,31.1,4.3,48.5,2.3,37.8,2.8,83.7,15.4,38.2,31.1,4.3,-0.3,1.8,5.4,0.9,1,4.3,0.1,0.6,5.3,1.45671965911772,1.98835732201916,-0.956989460497287,1.32320531746515,FALSE,""
"245","Klay Thompson","GSW","G",FALSE,FALSE,TRUE,78,34,5.3,51.6,3.1,40.5,1.7,81.6,24.2,43,25.1,4.7,-2.6,2.1,5.8,1,1.1,2.4,0.6,0.5,3.4,2.1791128202428,2.41374514221882,-1.19496282139343,0.752621410453638,FALSE,""
"246","Kris Dunn","CHI","G",FALSE,FALSE,TRUE,46,30.2,4,44.3,0.7,34.7,1.2,79.7,17.3,19.7,52.4,5.6,2.3,3.1,7.7,1.3,1.5,6,0.5,0.4,3.7,-0.354517009578773,0.529397460048976,-3.05640553180975,2.90527346842382,FALSE,""
"247","Kyle Anderson","MEM","F",FALSE,TRUE,FALSE,43,29.8,3.3,58.3,0.2,26.5,0.9,57.8,9.8,7.8,71.7,3.9,-3.3,2.7,6.2,1.1,1.3,3,0.9,1.1,4.7,-2.83414213135261,-0.58070775780221,-2.40258102635562,0.747461040021225,FALSE,""
"248","Kyle Korver","UTA","G-F",FALSE,TRUE,TRUE,70,19.1,0.9,47.4,2,40.2,0.9,82.2,13.7,69,7.3,3,1.6,0.8,3.8,0.3,0.4,1.2,0.2,0.1,2.2,3.37004270454794,-0.439427531209902,2.3395345527533,-0.116271073349877,FALSE,""
"249","Kyle Kuzma","LAL","F",FALSE,TRUE,FALSE,70,33.1,5.3,55.3,1.8,30.3,2.7,75.2,6,29.4,50.3,5.1,-1.6,0.7,8.5,0.9,0.6,2.5,0.4,0.9,4.6,-0.592340445894153,1.65257868311173,-0.772276592125405,-0.875988937081055,FALSE,""
"250","Kyle Lowry","TOR","G",FALSE,FALSE,TRUE,65,34.1,2.3,51.4,2.4,34.7,2.5,83,7.3,50.9,24.4,5.2,-3.3,2.2,5.4,1.6,1.4,8.7,0.5,0.6,4.2,1.88349000341056,0.881903646820976,-3.10959687644082,2.96727717789448,FALSE,""
"251","Kyrie Irving","BOS","G",FALSE,FALSE,TRUE,67,33,6.4,53.3,2.6,40.1,3.2,87.3,17.5,32.7,36.3,5.1,2.1,2.5,5.3,1.8,1.5,6.9,0.5,1.1,3.9,1.06227237413596,3.29492964116067,-3.2450406098365,3.14851234975553,FALSE,""
"252","LaMarcus Aldridge","SAS","C-F",TRUE,TRUE,FALSE,81,33.2,8.3,52.8,0.1,23.8,4.3,84.7,29.8,1.7,48.3,8,-2.3,1.1,13.6,0.9,0.5,2.4,1.3,3.1,6.1,-2.04832750376896,3.69415726531347,-4.21284307643359,-3.58459703444513,TRUE,"LaMarcus Aldridge"
"253","Lance Stephenson","LAL","G",FALSE,FALSE,TRUE,68,16.5,1.6,47.2,1.1,37.1,0.7,68.5,14.3,44.6,31,2.4,2.1,0.7,2.8,0.6,0.6,2.1,0.1,0.5,2.7,1.13742214962244,-0.832844439277277,1.93877011095042,0.508156691286472,FALSE,""
"254","Lance Thomas","NYK","F",FALSE,TRUE,FALSE,46,17,1.2,47.5,0.5,27.8,0.6,75,17.6,32.2,37.1,3,0.3,0.7,3.7,0.5,0.4,0.6,0.2,0.5,2.1,0.182193033416003,-0.994262531153287,2.11792087122384,-0.410871633170171,FALSE,""
"255","Landry Shamet","LAC","G",FALSE,FALSE,TRUE,79,22.8,0.9,45.3,2.1,41.7,0.9,80.6,4.7,69.4,15.5,3.9,2.1,0.8,5.5,0.5,0.5,1.5,0.1,0.3,1.4,3.14092319082588,-0.728835474073406,1.73400886912982,0.0594225200901323,FALSE,""
"256","Langston Galloway","DET","G",FALSE,FALSE,TRUE,80,21.8,1.2,45.1,1.7,35.4,1,84.4,10.1,60.3,17.6,3.1,-1.1,0.8,4.7,0.8,0.5,1.1,0.1,0.6,1.5,2.52885016870564,-0.501516345610821,1.6047903256897,-0.0351800621883906,FALSE,""
"257","Larry Nance Jr.","CLE","F",FALSE,TRUE,FALSE,67,26.8,3.1,56.5,0.5,34.4,1.4,71.6,6.1,15.8,62.8,5.8,-0.8,2.8,8.5,1.3,1.5,3.2,0.6,2.5,5.7,-1.6171819065443,-0.0435798124450607,-4.10722913382366,0.495887796826667,FALSE,""
"258","Lauri Markkanen","CHI","F",FALSE,TRUE,FALSE,52,32.3,4.3,48.4,2.3,36.2,3.3,87.2,7.2,37,38.4,5.9,1.9,1.1,8.2,0.8,0.7,1.4,0.6,1.4,7.6,1.05381597756451,2.04420925569865,-1.85783774891587,-1.37000072057105,FALSE,""
"259","LeBron James","LAL","F",FALSE,TRUE,FALSE,55,35.2,8.1,58.2,2,33.9,5.1,66.5,10,22.1,49.4,4.6,-3.4,1.8,5.7,1.5,1.3,8.3,0.6,1,7.4,-1.13203344354733,3.75567060477244,-3.48564112003135,1.91540047201706,FALSE,""
"260","Lonzo Ball","LAL","G",FALSE,FALSE,TRUE,47,30.3,2.3,48.2,1.6,32.9,0.4,41.7,4.7,48.4,42.6,5.6,-0.5,2.6,6.8,1.4,1.5,5.4,0.4,1.1,4.2,0.177684522244498,-1.6046139617419,-3.09395998561457,2.1999302282018,FALSE,""
"261","Lou Williams","LAC","G",FALSE,FALSE,TRUE,75,26.6,5,44.9,1.4,36,5.7,87.6,15.2,21,35.4,3.6,3.3,1.3,3.7,0.9,0.8,5.4,0.1,0.5,2.4,0.389789395523102,3.28687201476297,0.436445826779433,1.95015894694687,FALSE,""
"262","Luc Mbah a Moute","LAC","F",FALSE,TRUE,FALSE,4,15.3,1.5,50,0.5,33.3,0.5,40,10,30,50,2,-9.8,0.8,3.8,0,0.3,0.5,0.3,0.5,1.3,-0.977566049231884,-1.94468329433738,2.745421356028,-1.56692155972559,FALSE,""
"263","Luka Doncic","DAL","F-G",FALSE,TRUE,TRUE,72,32.2,4.7,50.3,2.3,32.6,4.8,71.3,6.7,33,37.6,5.6,1.5,2,6.3,1.4,1.1,6,0.3,1.2,6.6,0.335637875509602,2.41975496063728,-2.91703294890116,1.67978378505452,FALSE,""
"264","Luke Kennard","DET","G",FALSE,FALSE,TRUE,63,22.8,1.9,48.6,1.7,39.4,0.8,83.6,17.3,51.9,22.5,3,2.5,0.9,3.5,0.6,0.4,1.8,0.2,0.2,2.7,2.21850024869219,0.0350523210444533,1.84807296031015,0.320525864208517,FALSE,""
"265","Luke Kornet","NYK","F-C",TRUE,TRUE,FALSE,46,17,0.8,42.4,1.5,35.3,0.8,82.6,4.3,65.2,18.6,5.1,-3.9,0.8,9.8,0.4,0.6,1.2,0.9,0.6,2.3,2.55261295446764,-1.12136924392412,-0.19614222322139,-1.92952330692977,FALSE,""
"266","Luol Deng","MIN","F",FALSE,TRUE,FALSE,22,17.8,2,60.8,0.6,31.8,1.1,71.4,8.9,26.8,48.4,2.5,-10.1,0.8,5.9,0.7,0.7,0.8,0.4,0.9,2.4,-0.942031763011763,-0.475359967802608,0.812222090445808,-1.23821737023711,FALSE,""
"267","Malcolm Brogdon","MIL","G",FALSE,FALSE,TRUE,64,28.6,4.3,54.5,1.6,42.6,2.2,92.8,3,31.2,51.7,4.7,-0.8,1,6.3,1.2,0.7,3.2,0.2,1,3.5,0.256161608828072,1.55234987091406,-0.595386956819109,0.340420137447569,FALSE,""
"268","Malik Beasley","DEN","G",FALSE,FALSE,TRUE,81,23.2,2.3,55.9,2,40.2,0.7,84.8,7.9,53.3,32.7,3.7,5.1,1.1,4.4,0.8,0.7,1.2,0.1,0.4,2,1.66058022074265,0.129805442165726,1.29702955071896,0.820786450789541,FALSE,""
"269","Malik Monk","CHA","G",FALSE,FALSE,TRUE,73,17.2,1.6,46.1,1.5,33,1.2,88.2,8.3,50.1,27.9,2.5,5.6,0.8,3,0.5,0.5,1.6,0.3,0.2,1.7,1.70829667222805,-0.238567928927117,2.33743091399539,0.550415265129317,FALSE,""
"270","Marc Gasol","TOR","C",TRUE,FALSE,FALSE,79,30.8,3.7,48.7,1.3,36.3,2.4,75.9,17.2,27.7,37.2,6.4,-4.2,1.7,9.4,0.9,1.1,4.4,1.1,1,6.9,0.40592215633176,1.13273105081759,-3.47954492842018,-0.701861703079186,FALSE,""
"271","Marco Belinelli","SAS","G-F",FALSE,TRUE,TRUE,79,23,1.8,46.8,1.9,37.2,1.4,90.3,15.2,53.2,18.1,3.6,1,0.8,5.2,0.5,0.4,1.7,0.1,0.2,2.3,2.54668563198549,0.385390510341164,1.73616142048376,-0.0487981383858345,FALSE,""
"272","Marcus Morris Sr.","BOS","F",FALSE,TRUE,FALSE,75,27.9,3.1,50.8,1.9,37.5,1.9,84.4,14.7,41.9,29.4,4.8,1.8,1,5.8,0.8,0.6,1.5,0.3,1,5.1,1.47768387073389,1.03989327837212,-0.21390690970119,-0.468074284085575,FALSE,""
"273","Marcus Smart","BOS","G",FALSE,FALSE,TRUE,80,27.5,1.4,51.1,1.6,36.4,1.3,80.6,4.2,53.4,27.7,4.3,-1.8,2.9,7,1,1.8,4,0.4,0.7,2.2,1.5898389332604,-0.43102034149752,-2.05119424072675,2.32430657722767,FALSE,""
"274","Mario Hezonja","NYK","F",FALSE,TRUE,FALSE,58,20.8,2.6,48.2,0.7,27.8,1.5,76.3,11.7,24.7,46.6,4.3,3,1.7,5.8,0.6,1,1.5,0.1,0.5,3.6,-0.496211145153052,-0.122958729140788,0.159715490997604,0.773623508614846,FALSE,""
"275","Markelle Fultz","ORL","G",FALSE,FALSE,TRUE,19,22.5,3.2,43.3,0.2,28.6,1.1,56.8,12.9,7.7,65.8,3.2,-0.6,1.3,4.6,0.9,0.9,3.1,0.3,1.4,2.3,-1.94650620510042,-0.705670762244369,0.0563535556685782,0.550100092635974,FALSE,""
"276","Markieff Morris","OKC","F",FALSE,TRUE,FALSE,58,21.9,2.3,48.6,1.2,33.5,1.2,77.2,12.1,37.3,37.7,4.6,-0.1,1.1,6.1,0.7,0.6,1.4,0.4,1.1,3.5,0.626661630295625,-0.138035635917745,0.0328817927090044,-0.667226111473568,FALSE,""
"277","Marquese Chriss","CLE","F",FALSE,TRUE,FALSE,43,11.6,1.2,48.1,0.4,22.5,0.7,71.1,1.1,26.4,54.9,3.1,5.6,0.7,4,0.5,0.4,0.5,0.3,0.9,2.4,-1.149902051225,-1.59815148778131,1.89449233750845,-0.401163092982703,FALSE,""
"278","MarShon Brooks","MEM","G",FALSE,FALSE,TRUE,29,13.3,2.1,53,0.5,27.8,0.8,69.7,11.6,23.7,52.6,2,-0.5,0.7,3.3,0.5,0.3,0.9,0.1,0.4,1.1,-1.03701923134905,-0.75103542310533,2.78803195305606,-0.156196962670827,FALSE,""
"279","Marvin Bagley III","SAC","F",FALSE,TRUE,FALSE,62,25.3,5.2,53.3,0.5,31.3,2.9,69.1,9.8,9.8,60.9,5,0.5,0.8,9.1,0.9,0.5,1,1,2.6,5,-1.98897032580553,1.2855483408541,-1.75913739387007,-2.55840451638797,FALSE,""
"280","Marvin Williams","CHA","F",FALSE,TRUE,FALSE,75,28.4,1.8,50,1.9,36.6,0.9,76.7,3.7,55.6,32,5.3,0.6,1.8,8.9,0.9,0.9,1.2,0.8,1,4.4,1.60262810203343,-0.50792316794113,-1.70786629803937,-0.619217935293227,FALSE,""
"281","Mason Plumlee","DEN","F-C",TRUE,TRUE,FALSE,82,21.1,3.2,60.5,0,20,1.4,56.1,2.2,0.9,79.4,5.3,-0.9,1.6,6.5,0.8,0.8,3,0.9,2,4.4,-3.86148401536455,-0.736675210586177,-1.8512297605931,-0.871115883176198,FALSE,""
"282","Matthew Dellavedova","CLE","G",FALSE,FALSE,TRUE,48,16.9,1.1,48.2,0.9,33.8,0.9,80.8,5.7,46.8,32.6,3.4,2.6,0.7,4.2,0.4,0.3,3.8,0,0.1,1.5,1.01812378046025,-0.972834362115339,2.19775208004066,0.669342326508578,FALSE,""
"283","Maurice Harkless","POR","F",FALSE,TRUE,FALSE,60,23.6,2.6,58.1,0.6,27.5,0.8,67.1,1.7,21.5,66.1,4.2,1,1.9,6.4,0.8,1.1,1.2,0.9,1.3,3.2,-1.9398475278996,-0.800660184145934,-1.12490668433896,-0.198575033178647,FALSE,""
"284","Maxi Kleber","DAL","F",FALSE,TRUE,FALSE,71,21.2,1.4,58.3,1.1,35.3,0.8,78.4,4.9,47.6,35.5,4.3,-3.6,0.8,8.5,0.6,0.5,1,1.1,1.3,3.4,0.620738525465742,-0.722707425709368,-0.541053233353708,-2.30168833829755,FALSE,""
"285","Meyers Leonard","POR","F-C",TRUE,TRUE,FALSE,61,14.4,1.3,63.1,0.8,45,0.7,84.3,3.9,42,42,4.2,3.6,0.3,5.3,0.3,0.2,1.2,0.1,0.8,3,0.441086275208097,-0.512404479193421,1.89282325227425,-0.980431690957575,FALSE,""
"286","Michael Beasley","LAL","F",FALSE,TRUE,FALSE,26,10.7,2.8,52.9,0.1,17.6,1.1,71.8,6.6,5,72.9,2.2,2.2,0.7,3.2,0.3,0.3,1,0.4,0.5,1.8,-2.87171255897472,-0.622925370403616,2.57239957573647,-0.477127186271336,FALSE,""
"287","Michael Carter-Williams","ORL","G",FALSE,FALSE,TRUE,28,13.3,1.3,42.4,0.4,26.3,1.1,60.4,0,22.4,53.7,3.5,5.9,1.3,3.5,0.8,0.7,2.5,0.5,0.7,1.8,-1.09414651178812,-1.72039339499307,0.844153723503422,0.9221738765292,FALSE,""
"288","Michael Kidd-Gilchrist","CHA","F",FALSE,TRUE,FALSE,64,18.4,2.2,49.8,0.3,34,1.5,77.2,10.8,11.2,55.7,3.8,-4.3,0.8,6.7,0.8,0.5,1,0.6,1.4,2.5,-1.09036376159395,-0.170789582526758,0.169506351046177,-1.47692696613945,FALSE,""
"289","Mikal Bridges","PHX","F",FALSE,TRUE,FALSE,82,29.5,1.7,54.8,1.3,33.5,1.2,80.5,2.9,46.1,37.1,5.4,4.3,2.7,6.5,1.3,1.6,2.1,0.5,0.7,2.5,0.654037720108466,-0.447441235968519,-2.05289758727191,2.14463939105099,FALSE,""
"290","Mike Conley","MEM","G",FALSE,FALSE,TRUE,70,33.5,4.8,48.3,2.2,36.4,4.9,84.5,11.8,31.5,33.6,5.3,1.3,2.1,6.5,1.7,1.3,6.4,0.3,0.6,2.8,0.92528189987119,2.9882166799463,-2.39449620447903,2.86934730342492,FALSE,""
"291","Mike Muscala","LAL","F-C",TRUE,TRUE,FALSE,64,20.4,0.9,53.5,1.4,35,1.1,82.4,6.7,59.5,18.3,4.9,-0.5,0.6,8.9,0.3,0.3,1.2,0.6,0.9,2.9,1.92696358994884,-0.678227041237728,0.489402307557358,-1.96529901682353,FALSE,""
"292","Mike Scott","PHI","F",FALSE,TRUE,FALSE,79,17.7,0.8,39.9,1.3,40.1,0.3,66.7,7.8,66,21.4,2.5,-1.5,0.6,4.1,0.5,0.3,0.8,0.2,0.5,2.9,2.45454202117239,-1.72144462859494,2.08710839483034,-0.727541968442773,FALSE,""
"293","Miles Bridges","CHA","F",FALSE,TRUE,FALSE,80,21.2,2.1,55.3,0.8,32.5,0.7,75.3,2.7,32.7,54.9,4.3,1.8,1,6,0.5,0.7,1.2,0.6,0.8,3.2,-0.665932083696191,-0.763063540404631,0.374093607881664,-0.671737095298579,FALSE,""
"294","Mo Bamba","ORL","C",TRUE,FALSE,FALSE,47,16.3,2,56.1,0.4,29.2,0.8,58.7,13,21.6,52.7,4.7,-0.2,0.5,8.1,0.6,0.3,0.8,1.4,1.4,3.6,-1.38797611138073,-0.976193054831121,-0.500561515645717,-2.75377086163444,FALSE,""
"295","Monte Morris","DEN","G",FALSE,FALSE,TRUE,82,24,3.1,53.3,1.1,41.6,0.8,80.2,14.3,33.1,44.9,3.4,0.3,1.3,4.3,0.8,0.9,3.6,0,0.4,1.9,0.411394851966408,0.292751155621033,0.805000137958648,1.45281546622367,FALSE,""
"296","Montrezl Harrell","LAC","F-C",TRUE,TRUE,FALSE,82,26.3,6.6,62.3,0,17.6,3.2,64.3,1.9,0.7,77.9,6.9,-2.4,1.1,12.2,1.1,0.9,2,1.3,2.2,4.3,-4.27626849204109,1.34941630938317,-3.47820397239751,-2.32841918188304,FALSE,""
"297","Moritz Wagner","LAL","C",TRUE,FALSE,FALSE,43,10.4,1.1,52.2,0.5,28.6,1,81.1,1.9,31.9,45.4,2.8,-1.7,0.5,4.2,0.3,0.3,0.6,0.3,0.4,1.6,-0.382333840983842,-1.05974078925871,2.48331319597619,-0.95014914235702,FALSE,""
"298","Myles Turner","IND","C-F",TRUE,TRUE,FALSE,74,28.6,4.1,52.1,1,38.8,2,73.6,20.5,23.2,41.3,7.8,-2.1,1.5,12.1,0.8,0.8,1.6,2.7,1.4,5.8,-0.0323691544247973,1.14046133200669,-4.55076227599504,-3.56563489733862,TRUE,"Myles Turner"
"299","Nemanja Bjelica","SAC","F",FALSE,TRUE,FALSE,77,23.2,2.3,54.1,1.3,40.1,0.9,76.1,1.9,41.7,47,5.1,-2.3,1.6,9.6,0.6,0.7,1.9,0.7,1.6,4.1,0.374429249269731,-0.404991515963831,-1.46144274720994,-1.43168484117316,FALSE,""
"300","Nene","HOU","C-F",TRUE,TRUE,FALSE,42,13,1.4,53.1,0,0,0.7,66,18.5,0,60.9,2.9,-1.8,1.1,3.9,0.6,0.4,0.6,0.4,0.8,2.1,-3.1418627928632,-1.29438394880336,1.51822633891038,-0.613418452381202,FALSE,""
"301","Nicolas Batum","CHA","F-G",FALSE,TRUE,TRUE,75,31.4,1.8,52.1,1.6,39.1,1,86.5,9.2,49.8,30,4.6,-1,1.9,7.7,0.9,0.9,3.3,0.6,0.9,4.3,1.66022693202237,-0.0352311660318216,-1.49924581560058,0.221906393321658,FALSE,""
"302","Nik Stauskas","CLE","G",FALSE,FALSE,TRUE,68,14.9,1,43.6,1,37.2,0.8,89.1,9,52.6,24.1,2.4,3.6,0.4,3.4,0.4,0.3,1.2,0.1,0.3,1.6,2.02423991511625,-0.782009325261627,2.89256527375061,-0.059818312779432,FALSE,""
"303","Nikola Jokic","DEN","C",TRUE,FALSE,FALSE,80,31.3,6.7,56.9,1,30.7,3.6,82.1,7.7,15.5,58.7,8.3,-2.4,2.4,9.9,1,1.4,7.3,0.7,2.9,8,-1.67232288732326,2.56597588911768,-5.6998452021986,-0.00465941984788271,FALSE,""
