"","PROVINCE / LGU","economic_dynamism","government","infrastructure","resiliency","cluster"
"441","Diadi",3.6328,9.4977,3.3134,12.1328,1
"442","Diffun",4.7505,9.2104,5.5977,13.338,2
"443","Digos",6.0201,8.8391,7.4645,14.2137,2
"444","Dilasag",4.5451,8.9732,3.3172,12.6716,1
"445","Dimasalang",4.3518,6.6245,2.8714,11.529,1
"446","Dimataling",5.2752,10.2228,5.371,14.1475,2
"447","Dimiao",5.1991,9.6404,5.4392,13.2773,2
"448","Dinagat",5.9923,9.7643,5.426,13.7993,2
"449","Dinalungan",3.5771,7.2992,5.3138,13.3807,1
"450","Dinalupihan",5.0118,10.657,6.575,13.3998,2
"451","Dinapigue",2.1751,7.8148,2.7715,13.151,1
"452","Dinas",4.6361,8.9018,5.0872,13.7044,2
"453","Dingalan",5.3525,9.5324,6.0785,13.6765,2
"454","Dingle",5.2947,10.5114,5.7601,12.2533,2
"455","Dingras",3.9625,8.8977,5.6743,13.3529,1
"456","Dipaculao",5.6565,9.2872,4.8282,13.9776,2
"457","Diplahan",5.1958,9.1788,5.0887,13.5993,2
"458","Dipolog",7.7698,9.9248,6.9124,13.4085,4
"459","Ditsaan-Ramain",3.7389,8.9547,5.0193,12.658,1
"460","Divilacan",1.9422,9.0784,3.7313,11.9417,1
"461","Dolores (AA)",5.7786,10.1589,5.5159,12.9464,2
"462","Dolores (ES)",5.3463,6.2847,5.3856,11.4027,1
"463","Dolores (QN)",4.6939,8.6522,5.2924,13.3251,2
"464","Don Carlos",4.3908,8.7643,5.2161,13.3559,1
"465","Don Marcelino",5.6256,9.5869,4.3737,12.7404,2
"466","Don Victoriano Chiongbian",3.4273,8.0557,4.7624,13.1574,1
"467","Dona Remedios Trinidad",4.1488,8.6712,5.0508,11.4094,1
"468","Donsol",4.1325,8.5292,5.5192,13.1247,1
"469","Duenas",5.0004,8.6271,5.3869,13.5211,2
"470","Duero",5.3478,8.4941,5.3395,12.292,2
"471","Dulag",5.592,8.9199,3.8409,11.7666,1
"472","Dumaguete",5.5095,8.1588,6.0438,10.7117,2
"473","Dumalag",5.1678,9.1766,5.4144,13.427,2
"474","Dumalinao",5.3966,8.246,5.9275,12.6422,2
"475","Dumalneg",4.4987,10.1691,6.0472,13.3043,2
"476","Dumangas",5.5294,9.5653,6.1387,13.7696,2
"477","Dumanjug",6.6199,7.3019,6.2793,12.096,2
"478","Dumaran",4.8636,7.3701,2.5484,12.98,1
"479","Dumarao",4.1182,8.7212,5.8574,13.241,2
"480","Dumingag",5.0277,8.0056,4.6101,12.8426,1
"481","Dupax Del Norte",3.8996,9.2035,5.8599,13.483,2
"482","Dupax Del Sur",2.7154,8.5382,1.8322,13.3054,1
"483","E. B. Magalona",4.0284,9.0558,5.3175,12.8505,1
"484","Echague",3.7959,9.8756,5.5326,14.3394,2
"485","El Nido",6.0694,9.2902,6.0649,13.8547,2
"486","El Salvador",4.7276,9.2348,6.1882,13.5772,2
"487","Enrile",4.2229,8.7577,5.7243,10.3656,1
"488","Enrique Villanueva",4.8738,9.123,5.9986,13.8252,2
"489","Escalante",3.3146,8.5027,4.8915,10.2039,1
"490","Esperanza (AS)",4.3364,9.0265,5.4972,13.2849,2
"491","Esperanza (MS)",4.2955,8.6306,4.9479,9.7989,1
"492","Esperanza (SK)",5.4364,9.5912,5.981,13.0404,2
"493","Estancia",4.4358,8.4806,5.5323,13.3056,1
"494","Famy",5.7781,7.2272,5.6338,12.8347,2
"495","Ferrol",4.7587,6.9686,5.1687,12.9245,1
"496","Flora",5.3973,9.1565,4.8311,12.2143,2
"497","Floridablanca",4.493,9.2931,5.9039,13.3187,2
"498","Gabaldon",3.7818,9.9569,6.2002,13.446,2
"499","Gainza",3.8083,6.2488,2.6835,8.4798,3
"500","Galimuyod",4.2768,9.1468,3.9307,13.7848,1
"501","Gamay",4.3251,8.8033,4.6882,11.5414,1
"502","Gamu",3.7573,9.8718,4.8688,12.2366,1
"503","Ganassi",2.99,2.651,0.1241,12.2911,3
"504","Gandara",2.5229,6.4755,4.103,13.1542,1
"505","Gapan",3.1728,9.0863,6.4686,13.6528,2
"506","Garchitorena",2.0583,6.3756,2.253,8.0531,3
"507","Garcia-Hernandez",6.323,8.8204,4.8461,13.382,2
"508","Gasan",4.7166,8.6489,5.9179,13.3422,2
"509","Gattaran",3.8856,8.6106,4.5692,12.9943,1
"510","Gen S.K Pendatun",3.1518,8.3156,5.4107,12.3212,1
"511","Gen. Emilio Aguinaldo",6.4114,7.1269,6.5006,13.1705,2
"512","Gen. Mariano Alvarez",6.0568,9.8949,6.1343,12.222,2
"513","General Luna (SN)",10.7462,8.9117,11.2604,13.2896,4
"514","General Luna (QN)",4.8247,8.5703,4.546,12.9456,1
"515","General Macarthur",5.4111,1.1518,0.4348,0,3
"516","General Mamerto Natividad",4.0796,8.3612,5.5963,10.849,1
"517","General Nakar",3.5323,9.3962,5.1876,13.4383,1
"518","General Santos",6.9222,12.0035,6.7156,14.114,4
"519","General Tinio",3.0865,8.0501,5.3319,13.275,1
"520","General Trias",8.9119,11.3377,6.8622,13.6507,4
"521","Gerona",4.0003,9.7353,5.0925,13.863,2
"522","Getafe",5.1733,9.6787,4.1081,12.7589,2
"523","Gigaquit",4.7393,9.1919,5.7453,13.4636,2
"524","Gigmoto",2.3004,7.2501,5.4902,11.3929,1
"525","Ginatilan",6.2388,7.6552,6.5648,14.2805,2
"526","Gingoog",7.7291,11.9302,8.2486,14.1358,4
"527","Giporlos",7.3644,8.7908,5.187,11.9105,2
"528","Gitagum",5.3918,8.9677,7.2309,13.1794,2
"529","Glan",4.6682,10.1204,6.2914,13.7023,2
"530","Gloria",5.5326,6.8048,4.622,12.91,1
"531","Goa",3.2314,8.495,5.6623,13.2887,1
"532","Godod",5.3401,7.2956,3.9057,12.7732,1
"533","Gonzaga",3.5062,9.9375,5.0411,13.3682,1
"534","Governor Generoso",4.738,8.4519,4.9774,13.4534,1
"535","Gregorio Del Pilar",4.2846,9.4275,6.1444,13.3139,2
"536","Guagua",5.9303,10.4662,6.3643,13.4154,2
"537","Gubat",4.5443,9.067,5.3455,12.7114,2
"538","Guiguinto (BU)",7.1726,10.2214,6.3817,13.4935,2
"539","Guihulngan",4.2329,6.5749,6.6348,12.162,1
"540","Guimba",4.1342,9.3074,6.0064,13.3535,2
"541","Guimbal",6.9222,9.9284,6.8236,12.859,2
"542","Guinayangan",4.7101,9.1194,5.3315,13.9941,2
"543","Guindulman",5.4963,9.1838,5.4317,12.8922,2
"544","Guindulungan",3.1125,8.2252,5.5647,12.8497,1
"545","Guinobatan",2.61,9.3324,4.2631,12.8363,1
"546","Guinsiliban",4.555,10.3829,6.9273,14.1538,2
"547","Guipos",5.6037,7.9747,3.0778,13.4082,1
"548","Guiuan",5.5239,7.3374,5.7042,12.0693,1
"549","Gumaca",4.1929,9.3335,5.8811,14.5999,2
"550","Gutalac",4.8487,8.6463,3.0873,14.1495,1
"551","Hadji Panglima Tahil",3.3833,0,0.0235,0,3
"552","Hagonoy (BU)",4.8186,6.8351,5.764,13.0713,1
"553","Hagonoy (DS)",7.4671,11.4491,6.6901,14.3032,4
"554","Hamtic",2.8718,3.7743,0.3566,9.2812,3
"555","Hermosa",5.0382,8.9146,5.7918,12.0104,2
"556","Hernani",5.5607,5.8266,5.6462,11.6916,1
"557","Hilongos",5.1864,9.1331,5.1907,11.4255,2
"558","Himamaylan",3.5377,7.3994,5.6227,13.3052,1
"559","Hinabangan",2.7863,7.7829,4.7291,12.3831,1
"560","Hinatuan",4.7102,8.5883,5.5171,13.3536,2
"561","Hindang",6.9844,9.9,5.5535,14.2841,2
"562","Hingyon",3.1314,6.3043,4.0536,10.5561,3
"563","Hinigaran",3.3817,6.3417,5.0733,11.324,1
"564","Hinobaan",3.7933,8.7415,5.4647,11.5139,1
"565","Hinunangan",5.6282,8.9983,2.8855,13.5075,1
"566","Hinundayan",6.7753,8.2623,6.5083,12.9873,2
"567","Hungduan",3.854,8.4403,3.9587,13.241,1
"568","Iba",4.0409,8.1021,4.7527,12.2983,1
"569","Ibaan",4.7549,8.5221,5.4087,9.9403,1
"570","Ibajay",5.9535,8.7092,4.4586,9.5631,1
"571","Igacos",5.0228,9.5076,6.9214,13.9025,2
"572","Igbaras",4.812,8.8121,4.971,13.5569,2
"573","Iguig",4.471,9.1889,5.8082,13.475,2
"574","Ilagan",3.7981,11.9185,6.7203,13.2528,2
"575","Iligan",4.3923,8.2723,4.5878,13.5736,1
"576","Ilog",3.5973,3.2849,5.115,12.4408,1
"577","Iloilo",5.6429,12.0981,6.56,13.2081,2
"578","Imelda",6.3463,8.6641,5.6129,13.0544,2
"579","Impasug-Ong",4.5829,8.9015,5.0991,13.5557,2
"580","Imus",9.5982,11.3073,9.0919,14.2925,4
"581","Inabanga",6.0835,8.8318,5.2983,12.2153,2
"582","Indanan",3.6548,6.5072,0.081,0.2719,3
"583","Indang",4.5286,8.641,5.574,12.8827,2
"584","Infanta (PS)",5.2285,9.8067,5.3045,13.6759,2
"585","Infanta (QN)",4.4443,9.7518,5.4278,13.4293,2
"586","Initao",7.1132,9.7378,7.144,13.5534,2
"587","Inopacan",5.7115,7.919,5.1264,13.5456,2
"588","Ipil",5.6037,8.5637,5.6444,11.6573,2
"589","Iriga",4.7163,11.0844,8.0991,14.4298,2
"590","Irosin",4.2745,8.4054,4.6829,11.4211,1
"591","Isabel",4.8489,5.1471,5.3274,11.8772,1
"592","Isabela (BAS)",4.9541,8.938,5.5608,13.3307,2
"593","Isabela (NO)",3.804,6.4948,4.9665,12.3381,1
"594","Isulan",6.9998,11.628,7.4089,14.5605,4
"595","Itbayat",3.1513,8.2023,5.1124,12.9538,1
"596","Itogon",5.3283,7.0281,5.2414,13.5843,1
"597","Ivana",1.9735,1.4354,4.6103,12.8058,3
"598","Ivisan",5.5305,9.918,6.0292,14.6191,2
"599","Jabonga",5.487,7.2774,5.5746,11.3491,1
"600","Jaen",3.3289,9.6018,4.9977,13.0846,1
"601","Jagna",10.1851,10.2038,7.5217,13.5611,4
"602","Jalajala",4.4434,9.4536,5.7057,13.2984,2
"603","Jamindan",4.2685,8.7209,5.6026,12.5323,1
"604","Janiuay",4.6106,9.8585,4.9575,13.4374,2
"605","Jaro",5.3403,7.9257,4.8619,11.5432,1
"606","Jasaan",4.8432,9.4298,5.1774,13.3772,2
"607","Javier",4.4755,9.8925,5.0528,13.4438,2
"608","Jiabong",3.9964,8.0826,6.4202,13.6059,2
"609","Jimalalud",5.0157,6.5523,4.6537,10.9161,1
"610","Jimenez",6.1548,10.158,5.9839,11.6545,2
"611","Jipapad",5.5836,6.4372,4.7109,9.9081,3
"612","Jolo",4.3834,0.707,0.1982,4.0037,3
"613","Jomalig",4.2253,6.8746,4.7112,11.3561,1
"614","Jones",2.7543,9.3135,4.728,12.7788,1
"615","Jordan",6.8348,9.0811,6.9049,11.866,2
"616","Jose Abad Santos",4.4411,6.522,4.1362,12.6117,1
"617","Jose Dalman",5.961,7.9873,5.8018,14.1971,2
"618","Jose Panganiban",2.5446,7.988,4.1281,12.8663,1
"619","Josefina",5.6107,7.543,5.1369,12.2961,1
"620","Jovellar",2.3097,8.2705,3.9872,11.7853,1
"621","Juban",2.4621,6.3533,1.2546,10.1077,3
"622","Julita",5.8928,8.5825,5.7124,12.8418,2
"623","Kabacan",5.4125,11.3749,7.4646,15.3936,2
"624","Kabankalan",4.562,9.8264,6.476,13.8422,2
"625","Kabasalan",4.2876,5.4778,4.7905,11.5236,1
"626","Kabayan",5.2393,7.9793,5.8546,11.4697,1
"627","Kabugao",3.9295,6.7272,4.6421,13.0006,1
"628","Kabuntalan",3.088,7.0179,6.1412,13.8142,1
"629","Kadingilan",4.683,8.8603,4.7982,13.5963,2
"630","Kalamansig",4.6407,9.0937,5.3899,13.2718,2
"631","Kalawit",5.402,6.6388,4.9028,13.5614,1
"632","Kalayaan (LA)",4.2872,9.3362,5.4553,13.4095,2
"633","Kalayaan (PN)",4.0751,4.4143,3.5767,12.07,1
"634","Kalibo",6.7799,11.492,7.2797,12.1647,2
"635","Kalilangan",4.2279,9.0399,4.8991,12.7347,1
"636","Kalingalan Caluang",3.3833,0,0.0601,0,3
"637","Kananga",5.2103,8.9178,5.2205,12.0158,2
"638","Kapalong",6.2676,10.1367,5.5917,13.574,2
"639","Kapangan",4.9951,8.7128,4.7873,12.6126,1
"640","Kapatagan (LN)",4.465,9.5538,5.7646,13.7737,2
"641","Kapatagan (LS)",3.7042,9.5566,3.5466,13.4036,1
"642","Kasibu",4.9895,10.0809,5.714,13.8621,2
"643","Katipunan",4.3867,7.8647,4.643,11.7416,1
"644","Kauswagan",7.7965,11.5272,7.9614,15.1718,4
"645","Kawayan",7.1775,10.5258,6.3419,9.7102,2
"646","Kawit",5.8361,9.85,6.2561,13.2792,2
"647","Kayapa",3.4772,4.8171,5.3504,9.6995,3
"648","Kiamba",4.2973,10.0137,5.8541,13.9718,2
"649","Kiangan",4.5733,9.536,5.5636,12.518,2
"650","Kibawe",4.3544,8.1919,5.06,11.9298,1
"651","Kiblawan",4.4491,7.9072,4.9754,12.7941,1
"652","Kibungan",4.3052,9.167,4.7162,13.9101,1
"653","Kidapawan",5.1287,9.6277,7.8922,13.7194,2
"654","Kinoguitan",4.4065,9.162,6.385,11.8688,2
"655","Kitaotao",4.6527,9.2415,4.5078,13.4437,2
"656","Kitcharao",8.0692,8.8352,5.296,12.9887,2
"657","Kolambugan",5.1959,11.114,6.5992,13.6207,2
"658","Koronadal",6.7253,10.8144,6.703,15.6725,4
"659","Kumalarang",4.8498,7.2569,5.1014,12.9259,1
"660","La Carlota",4.1634,9.2349,6.0114,13.6393,2
"661","La Castellana",4.0912,7.9528,4.8328,11.2389,1
"662","La Libertad (NR)",5.2597,8.5771,4.9162,12.2327,1
"663","La Libertad (ZN)",6.0332,6.593,5.4657,13.1197,1
"664","La Paz (AA)",5.7785,9.5423,5.9704,12.8672,2
"665","La Paz (AS)",4.3251,8.8563,4.7863,9.8426,1
"666","La Paz (LE)",4.542,6.5946,6.1639,12.902,1
"667","La Paz (TC)",2.3662,6.6266,1.1099,8.5538,3
"668","La Trinidad",8.8599,10.8515,5.8911,14.159,4
"669","Laak",5.4765,9.7956,7.5773,13.5586,2
"670","Labangan",6.4824,8.3994,4.7714,12.683,2
"671","Labason",6.7663,10.1979,6.1704,13.3648,2
"672","Labo",3.3124,8.4667,4.1445,11.2128,1
"673","Labrador",4.5651,9.5231,5.4517,12.7517,2
"674","Lacub",4.1597,9.5267,4.8071,12.8195,1
"675","Lagangilang",5.8366,9.976,4.5703,11.0033,2
"676","Lagawe",5.5014,9.5873,6.3604,12.7035,2
"677","Lagonglong",5.4473,8.7926,5.711,13.3013,2
"678","Lagonoy",2.5707,8.8548,4.704,12.7376,1
"679","Laguindingan",5.9036,9.5658,6.0988,13.8635,2
"680","Lake Sebu",4.8159,9.3498,6.0771,12.236,2
"681","Lakewood",5.6916,9.2809,4.7808,12.6731,2
"682","Lala",4.7604,10.032,5.6156,13.3996,2
"683","Lallo",3.862,8.9068,5.7136,13.2124,1
"684","Lambayong",4.9436,9.6675,5.5394,13.6038,2
"685","Lambunao",4.5935,9.6627,5.6184,13.3235,2
"686","Lamitan",4.5415,8.9138,4.7791,11.9962,1
"687","Lamut",6.4539,13.4206,7.2662,14.974,4
"688","Langiden",3.9524,5.8739,4.6378,9.9569,3
"689","Languyan",3.6844,8.542,3.1278,9.7069,3
"690","Lantapan",4.9446,8.5761,4.4499,12.9324,1
"691","Lantawan",3.0792,4.3354,4.5032,11.1983,3
"692","Lanuza",4.904,8.345,3.7173,13.5521,1
"693","Laoac",5.1182,10.0505,5.4191,13.4622,2
"694","Laoag",5.9092,10.8505,7.8471,13.8612,2
"695","Laoang",3.1939,7.3458,4.0444,12.8583,1
"696","Lapinig",3.3197,7.9809,4.2868,11.7241,1
"697","Lapu Lapu",5.9141,8.7885,5.1227,12.1569,2
"698","Lapuyan",5.2397,9.0712,4.517,13.4377,2
"699","Larena",6.2862,8.2341,7.5944,13.4234,2
"700","Las Navas",4.0448,7.2693,4.7268,10.8174,1
"701","Las Nieves",4.6345,8.9408,5.2666,13.3278,2
"702","Las Pinas",3.8473,9.7388,5.1343,13.4617,2
"703","Lasam",5.7442,9.7534,4.5031,13.5181,2
"704","Laua-An",4.4087,9.5151,5.5206,11.78,2
"705","Laur",3.8923,5.641,5.9177,6.2531,3
"706","Laurel",4.6219,8.0482,5.5047,13.4946,1
"707","Lavezares",4.8263,8.5075,5.6555,13.2516,2
"708","Lawaan",6.5088,5.9945,4.9601,12.1075,1
"709","Lazi",5.0561,9.2427,5.5619,12.8319,2
"710","Lebak",5.3147,10.1114,5.8685,13.7306,2
"711","Leganes",5.8639,10.173,6.0671,13.236,2
"712","Legazpi",8.6459,11.8686,11.4323,14.9775,4
"713","Lemery (BS)",5.4288,10.669,6.3237,12.1287,2
"714","Lemery (IO)",4.5569,9.3798,4.3209,12.6355,1
"715","Leon",4.6068,8.516,5.2755,13.4038,1
"716","Leyte",4.8289,7.8138,4.6419,13.4115,1
"717","Lezo",4.6035,9.5926,5.3544,13.3925,2
"718","Lian",6.1976,5.9443,5.8065,13.0559,1
"719","Lianga",5.5538,7.908,4.9607,9.0802,3
"720","Libacao",3.8774,6.6369,3.2469,12.7551,1
"721","Libagon",5.7206,6.7417,4.2701,13.627,1
"722","Libertad (AE)",6.4331,10.7991,5.597,12.3152,2
"723","Libertad (MO)",5.6314,9.8593,5.2649,13.6305,2
"724","Libjo",4.5007,8.06,5.3932,11.9536,1
"725","Libmanan",3.2666,6.4884,5.3464,11.262,1
"726","Libon",2.5083,8.0684,5.2453,12.7743,1
"727","Libona",4.7411,8.9803,4.3557,13.401,1
"728","Libungan",3.6194,8.7288,5.3179,12.2182,1
"729","Licab",3.5211,9.2449,5.5614,12.7932,1
"730","Licuan-Baay",4.2257,7.358,4.6148,12.7669,1
"731","Lidlidda",4.3962,9.452,5.23,13.5398,2
"732","Ligao",3.1842,10.2084,6.8882,14.934,2
"733","Lila",5.7792,9.561,6.8382,13.0613,2
"734","Liliw",6.0532,7.8545,6.5574,13.4719,2
"735","Liloan (CU)",6.5552,9.1342,5.8498,14.0105,2
"736","Liloan (SL)",5.3637,9.6757,5.502,13.0667,2
"737","Liloy",8.8435,9.7902,5.8734,13.8482,4
"738","Limasawa",3.915,6.5958,3.2987,13.4563,1
"739","Limay",6.4965,9.4749,5.5756,13.2965,2
"740","Linamon",5.2549,10.4932,7.2762,13.9525,2
"741","Linapacan",3.0497,5.346,2.907,12.9375,1
"742","Lingayen",5.4283,11.1306,7.3139,13.54,2
"743","Lingig",4.7189,7.6862,5.0869,11.6153,1
"744","Lipa",9.2866,11.0029,7.5025,12.0672,4
"745","Llanera",4.81,10.0613,5.3207,13.7898,2
"746","Llorente",3.7664,4.6739,4.0895,6.525,3
"747","Loay",6.0929,10.0139,7.0096,11.929,2
"748","Lobo",5.4654,8.502,5.4534,12.167,2
"749","Loboc",5.7989,9.2792,5.9457,13.4224,2
"750","Looc (OM)",7.6192,9.3789,7.9087,13.8599,4
"751","Looc (RN)",4.662,6.9201,5.9289,13.0064,1
"752","Loon",5.447,9.0023,5.6086,12.0732,2
"753","Lope De Vega",3.7208,6.9255,4.7377,9.4792,3
"754","Lopez",4.5764,9.8207,4.9279,9.4845,1
"755","Lopez Jaena",3.6215,4.137,4.6195,12.239,1
"756","Loreto (AS)",4.3642,8.9472,4.6329,13.3727,1
"757","Loreto (DI)",4.1078,7.294,4.5797,12.6996,1
"758","Los Banos",6.315,8.0205,7.2789,11.8623,2
"759","Luba",4.4042,8.5575,5.1687,11.2698,1
"760","Lubang",3.8977,5.3608,4.4075,11.5736,1
"761","Lubao",5.6262,10.0375,5.9032,13.4021,2
"762","Lubuagan",4.2481,7.125,4.9406,12.3384,1
"763","Lucban",4.7199,9.6794,5.5491,13.2837,2
"764","Lucena",3.2438,5.7905,3.9194,13.6189,1
"765","Lugait",4.7411,9.7569,5.1349,13.365,2
"766","Luisiana",4.4287,6.6524,4.682,13.2401,1
"767","Lumba-Bayabao",2.5836,6.0167,0.3143,12.4889,3
"768","Lumban",4.8764,7.916,5.7132,12.3514,1
"769","Lumbatan",2.839,8.1349,0.8348,12.2755,1
"770","Lumbayanague",3.5925,2.9407,3.3235,10.2308,3
"771","Luna (AO)",4.2531,9.3546,3.9222,13.1505,1
"772","Luna (IA)",5.5945,10.4028,6.3464,13.556,2
"773","Luna (LU)",6.2242,9.553,4.3911,14.0452,2
"774","Lupao",4.9392,9.6429,5.5685,12.3375,2
"775","Lupi",3.1017,8.3182,3.6095,12.6072,1
"776","Lupon",5.0048,9.9451,5.5352,13.4664,2
"777","Lutayan",4.4004,8.9391,5.0905,13.3583,1
"778","Ma-Ayon",4.5166,9.2435,5.1225,12.7601,2
"779","Maasim",5.2132,9.6573,6.1815,14.2173,2
"780","Maasin (IO)",5.3118,7.3612,5.5679,13.3789,1
"781","Maasin (SL)",4.4286,7.77,5.341,13.8536,1
"782","Mabalacat",4.8698,10.1098,8.2031,12.3885,2
"783","Mabinay",4.9053,8.2015,4.7183,12.3235,1
"784","Mabini (BL)",5.1145,6.4168,5.2043,9.1992,3
"785","Mabini (BS)",4.3696,7.2754,5.5871,13.3849,1
"786","Mabini (CV)",5.029,8.6283,5.3724,13.3566,2
"787","Mabini (PS)",4.5891,6.9035,5.1493,12.1587,1
"788","Mabitac",4.8882,9.0335,6.1484,13.7524,2
"789","Mabuhay",4.1691,6.5644,5.4156,13.0922,1
"790","Macabebe",3.4143,9.4291,5.4406,13.4163,1
"791","Macalelon",4.1143,5.0558,4.2717,12.249,1
"792","Macarthur",5.8848,9.2732,5.2338,13.5716,2
"793","Maco",5.8624,10.238,6.9053,13.4648,2
"794","Maconacon",2.5516,8.2047,3.735,13.3603,1
"795","Macrohon",3.7745,9.5512,3.5783,12.4782,1
"796","Madalag",3.3289,6.4379,2.5577,12.7794,1
"797","Madalum",4.1196,7.6387,3.097,11.1773,1
"798","Madamba",4.1218,9.4046,2.3536,11.3757,1
"799","Maddela",4.4822,9.3807,5.7678,12.9408,2
"800","Madrid",5.5908,9.2872,5.5576,13.2415,2
"801","Madridejos",6.0877,9.4631,5.4785,12.9735,2
"802","Magalang",4.3846,8.1913,5.866,13.2256,1
"803","Magallanes (AN)",7.4062,7.8685,5.6783,12.2525,2
"804","Magallanes (CE)",3.9865,11.2646,4.5581,12.2761,2
"805","Magallanes (SO)",3.3561,8.8256,3.7817,11.5706,1
"806","Magarao",1.783,6.4649,3.0498,12.6237,1
"807","Magdalena",4.7964,8.1174,5.8136,13.4378,2
"808","Magdiwang",5.0666,6.3886,1.6212,12.9291,1
"809","Magpet",3.4168,9.3,5.2521,13.3587,1
"810","Magsaysay (DS)",6.1657,11.6203,7.0361,14.7443,4
"811","Magsaysay (LN)",4.299,10.2192,6.73,13.1532,2
"812","Magsaysay (MO)",4.4628,9.7445,5.0769,13.3846,2
"813","Magsaysay (OM)",3.6824,6.7534,4.2405,13.5355,1
"814","Magsaysay (PN)",5.509,6.0469,5.349,11.6214,1
"815","Magsingal",6.1598,9.6959,5.9407,14.06,2
"816","Maguing",3.4298,6.259,2.3817,6.5032,3
"817","Mahaplag",5.2683,9.0703,4.6348,13.4724,2
"818","Mahatao",2.1799,6.4564,5.9128,11.9794,1
"819","Mahayag",5.9981,8.0636,6.0475,12.7118,2
"820","Mahinog",7.2415,12.122,7.6898,15.286,4
"821","Maigo",4.3402,8.9739,5.4732,13.4486,2
"822","Mainit",4.8659,9.8196,5.9688,13.3337,2
"823","Maitum",4.3821,9.1502,5.6493,13.7815,2
"824","Majayjay",3.8066,8.5704,3.6897,9.4948,3
"825","Makati",9.8496,12.0829,9.4636,15.3189,4
"826","Makato",4.1478,9.4333,5.1266,12.1115,1
"827","Makilala",4.792,9.5625,5.9605,13.6223,2
"828","Malabang",3.7211,5.2882,0.5066,11.5408,3
"829","Malabon",3.4119,9.1112,5.3166,13.965,1
"830","Malabuyoc",5.6275,6.3387,5.9671,13.4691,1
"831","Malalag",4.7967,9.4192,5.5468,13.4488,2
"832","Malangas",4.5802,6.9007,4.769,12.6634,1
"833","Malapatan",4.3958,9.1206,5.7185,14.1085,2
"834","Malasiqui",5.5752,10.6733,5.7074,13.4761,2
"835","Malay",6.0464,9.6855,9.5801,13.0477,4
"836","Malaybalay",6.3428,9.5005,5.5018,12.9557,2
"837","Malibcong",4.4844,9.1251,4.5382,13.6052,1
"838","Malilipot",2.7099,5.8016,1.9706,12.2853,1
"839","Malimono",6.0081,10.2261,6.8133,13.353,2
"840","Malinao (AK)",4.8191,8.9612,5.3736,13.3861,2
"841","Malinao (AY)",2.7274,9.5669,4.9093,13.0843,1
"842","Malita",6.5372,10.2506,5.8705,13.2969,2
"843","Malitbog (BK)",4.3212,6.9877,4.5805,12.6546,1
"844","Malitbog (SL)",4.3924,6.837,3.5397,12.2512,1
"845","Mallig",3.3545,10.225,4.6596,13.4572,1
"846","Malolos",7.005,10.0308,7.7326,13.613,4
"847","Malungon",4.8118,10.0472,6.4787,14.8125,2
"848","Maluso",5.8467,7.5982,4.7384,14.1342,2
"849","Malvar",5.1439,6.8556,5.7393,13.4461,1
"850","Mamasapano",3.4365,9.601,5.3392,11.8225,1
"851","Mambajao",9.506,12.1896,7.2553,14.246,4
"852","Mamburao",3.5595,6.7298,5.5202,12.7866,1
"853","Mambusao",6.3313,6.7748,5.3113,11.9998,1
"854","Manabo",5.5634,9.3521,5.9779,12.805,2
"855","Manaoag",5.0538,9.3742,5.5406,13.4767,2
"856","Manapla",3.6572,6.8903,4.9472,12.089,1
"857","Manay",4.571,9.858,5.3459,12.1587,2
"858","Mandaluyong",4.2886,9.5795,6.0476,13.6712,2
"859","Mandaon",4.9232,7.3346,3.6913,13.503,1
"860","Mandaue",9.657,7.8819,6.8151,14.1529,4
"861","Mangaldan",6.1242,10.5603,5.9105,13.5759,2
"862","Mangatarem",5.0083,10.8507,5.4599,12.9604,2
"863","Mangudadatu",3.6751,5.6871,4.8176,10.3839,3
"864","Manila",8.8802,18.6228,15.553,15.7704,4
"865","Manito",3.6596,8.7022,5.1631,11.2974,1
"866","Manjuyod",4.5628,3.9447,5.045,13.2143,1
"867","Mankayan",4.8121,7.3683,4.7454,12.6311,1
"868","Manolo Fortich",7.2487,9.8101,6.215,12.4777,2
"869","Mansalay",4.0085,6.4757,5.1102,11.0506,1
"870","Manticao",5.0551,8.9406,6.1116,12.1766,2
"871","Manukan",5.5924,8.9573,5.5624,13.3523,2
"872","Mapanas",3.3121,9.9855,2.2238,10.2739,1
"873","Mapandan",4.8815,6.6433,5.6399,12.8254,1
"874","Mapun",3.7723,5.7788,4.2198,11.5014,1
"875","Marabut",4.1767,9.7078,5.8447,9.3096,1
"876","Maragondon",5.6701,7.1829,6.0761,12.1154,2
"877","Maragusan",6.0362,9.5998,6.8548,13.4216,2
"878","Maramag",5.9183,10.643,6.4337,12.236,2
"879","Marantao",2.5553,7.8669,2.6055,13.3395,1
"880","Marawi",3.9272,8.6826,5.5791,12.7106,1
"881","Marcos",4.5541,9.2298,5.3956,12.9431,2
"882","Margosatubig",5.13,9.583,5.5761,12.6454,2
"883","Maria",5.8288,8.0567,5.8441,13.2473,2
"884","Maria Aurora",4.2847,9.3386,4.7445,12.9862,1
"885","Maribojoc",5.9456,9.9744,5.6016,13.423,2
"886","Marihatag",5.3257,8.9581,4.1899,13.4356,2
"887","Marikina",4.4664,8.4513,5.5964,12.0295,1
"888","Marilao",8.6214,9.5329,7.4598,13.2178,4
"889","Maripipi",5.1486,8.3227,5.0121,12.432,1
"890","Mariveles",5.346,10.4067,6.7982,12.1409,2
