"","PROVINCE / LGU","economic_dynamism","government","infrastructure","resiliency","cluster"
"102","Badian",5.9662,9.0017,4.9818,13.6451,2
"103","Badiangan",4.9071,9.2607,5.4892,11.6658,2
"104","Badoc",4.8877,10.3857,5.6316,13.7976,2
"105","Bagabag",3.0447,9.1262,3.8051,13.1459,1
"106","Bagac",4.8484,9.4709,5.3197,13.3661,2
"107","Bagamanoc",2.4789,7.6577,5.6053,12.5131,1
"108","Baganga",4.6192,10.0706,5.5373,13.4993,2
"109","Baggao",5.181,8.8641,4.2826,13.1553,1
"110","Bago",4.0328,9.8006,5.3979,13.5239,2
"111","Baguio",7.945,9.6504,5.2097,14.1123,2
"112","Bagulin",5.6525,10.7132,5.9831,13.8351,2
"113","Bagumbayan",5.626,9.5916,5.1877,13.3483,2
"114","Bais",4.2088,7.6582,5.69,10.9152,1
"115","Bakun",3.7364,7.1969,5.0263,11.0286,1
"116","Balabac",3.5898,9.0165,3.5311,12.2726,1
"117","Balabagan",4.4843,10.3682,4.7924,13.4704,2
"118","Balagtas",5.81,10.2797,5.845,13.341,2
"119","Balamban",6.3131,9.4598,6.2223,13.5552,2
"120","Balangkayan",5.0491,6.8448,4.1059,10.293,3
"121","Balangiga",4.9652,7.1881,5.2927,9.6294,3
"122","Balanga",4.9033,9.6649,7.327,13.518,2
"123","Balaoan",4.8605,9.2833,5.0031,13.581,2
"124","Balasan",6.1075,10.4049,6.321,13.6482,2
"125","Balatan",3.0695,7.2748,2.2686,11.0818,3
"126","Balayan",5.1094,10.0798,5.5944,13.4275,2
"127","Balbalan",4.0462,4.3044,4.738,13.339,1
"128","Baleno",3.1215,4.7739,1.2249,11.5165,3
"129","Baler",9.6035,11.1831,8.1431,13.885,4
"130","Balete (AK)",4.0095,7.9993,5.0512,10.8533,1
"131","Balete (BS)",4.9803,7.4026,6.4015,11.5384,1
"132","Baliangao",3.2412,6.5255,5.023,12.5216,1
"133","Baliguian",6.0018,7.4783,4.1395,9.3803,3
"134","Balilihan",5.5771,8.6029,5.6651,11.5078,2
"135","Balindong",3.7018,7.0378,3.2656,12.7367,1
"136","Balingasag",4.8734,8.9193,5.8044,13.4015,2
"137","Balingoan",8.2343,9.1425,5.7994,13.6775,2
"138","Baliwag",8.8955,12.8887,10.5071,15.7329,4
"139","Ballesteros",3.9446,9.265,4.0956,13.3126,1
"140","Baloi",7.689,10.5192,4.7906,12.3746,2
"141","Balud",3.2608,2.7885,4.0867,11.5314,3
"142","Balungao",5.4567,9.2654,5.6213,14.6104,2
"143","Bamban",2.8321,9.6008,5.2699,13.2073,1
"144","Bambang",4.029,8.0722,6.3479,11.4051,1
"145","Banate",5.4762,9.4792,5.7595,15.2972,2
"146","Banaue",4.453,7.6241,4.6181,12.0934,1
"147","Banaybanay",4.5967,7.5612,5.0693,12.2094,1
"148","Banayoyo",4.0982,9.4831,3.6727,13.1823,1
"149","Banga (AK)",5.2774,8.5867,5.1626,13.2855,2
"150","Banga (SC)",5.0723,10.0739,5.4505,13.6507,2
"151","Bangar",7.3539,10.4929,4.5504,13.878,2
"152","Bangued",5.9544,9.4543,5.5348,12.3551,2
"153","Bangui",5.3511,10.978,6.1785,14.1423,2
"154","Bani",4.1965,7.5345,4.5392,13.4667,1
"155","Banisilan",3.8218,8.7706,4.7961,13.2268,1
"156","Banna",4.6755,10.1327,5.1014,13.954,2
"157","Bansalan",5.0793,10.6825,6.0215,14.0036,2
"158","Bansud",3.9365,4.7355,4.6685,13.3507,1
"159","Bantay",8.8498,11.8332,7.4385,14.1023,4
"160","Bantayan Island",5.604,9.7236,5.43,10.9265,2
"161","Baras (CT)",3.9172,9.1348,5.7078,13.1773,2
"162","Baras (RL)",6.5854,10.6618,5.9282,13.7701,2
"163","Barbaza",4.0299,7.212,4.929,12.6104,1
"164","Barcelona",5.7507,9.5645,5.7167,12.3215,2
"165","Barili",5.2493,10.5646,5.0124,12.8282,2
"166","Barira",3.3847,9.3893,4.4606,11.8857,1
"167","Barlig",4.57,10.1365,4.6441,12.3044,2
"168","Barobo",6.5952,8.7464,6.0196,13.2643,2
"169","Barotac Nuevo",4.7712,9.5629,5.725,13.2926,2
"170","Barotac Viejo",6.1555,9.7337,6.1838,13.676,2
"171","Baroy",4.6523,8.7238,4.9371,11.3885,1
"172","Barugo",5.5199,9.7563,5.4119,12.8609,2
"173","Basay",5.2457,9.6008,5.0384,12.4077,2
"174","Basco",6.4448,12.0743,7.9015,10.3959,2
"175","Basey",3.3462,9.5248,5.268,12.1466,1
"176","Basilisa",4.7624,8.9365,4.6956,13.25,1
"177","Basista",5.5488,9.4887,5.4336,15.8406,2
"178","Basud (CN)",3.4913,9.1314,6.3628,12.0612,1
"179","Batac",4.4474,9.1539,6.2123,13.6787,2
"180","Batad",5.3385,10.4374,6.9127,13.8633,2
"181","Batan",4.2508,6.7463,4.9366,13.2441,1
"182","Batangas",10.3217,12.2684,8.9481,13.8952,4
"183","Bataraza",4.6575,10.0404,4.3641,13.9668,2
"184","Bato (CS)",2.0775,6.659,4.2073,9.6142,3
"185","Bato (CT)",4.9808,11.4749,8.5989,15.0298,4
"186","Bato (LE)",6.8213,10.1461,5.0563,12.8818,2
"187","Batuan (BL)",6.4771,10.6866,6.4629,12.7136,2
"188","Batuan (MS)",4.1743,6.9263,2.2219,12.6578,1
"189","Bauan",5.9128,9.8793,6.2501,13.3797,2
"190","Bauang",6.1464,11.0183,5.4821,14.2603,2
"191","Bauko",5.8208,10.0776,4.9118,12.8945,2
"192","Baungon",4.6684,5.7825,4.985,12.1002,1
"193","Bautista",5.2236,9.9989,5.7387,13.9467,2
"194","Bay",3.9705,8.593,4.9065,12.3937,1
"195","Bayabas",5.539,9.1283,6.3595,12.5536,2
"196","Bayambang",5.4372,10.6002,5.8221,14.3978,2
"197","Bayang",3.4467,8.9743,1.542,13.3159,1
"198","Bayawan",5.2609,10.0742,5.2984,13.586,2
"199","Baybay",4.7666,8.1292,5.8865,13.4985,2
"200","Bayog",5.2503,9.1704,0.9748,12.3733,1
"201","Bayombong",4.3584,7.5413,6.1353,13.5014,1
"202","Bayugan",6.3375,7.8645,6.9412,12.1162,2
"203","Belison",6.2381,9.8394,5.6781,12.1373,2
"204","Benito Soliven",3.3364,9.9861,5.5564,13.3637,2
"205","Besao",4.537,9.3064,5.4208,12.3455,2
"206","Bien Unido",5.2103,9.7302,4.2754,13.5503,2
"207","Bilar",6.3037,9.1559,5.299,10.7877,2
"208","Biliran",6.1061,8.3929,7.0474,12.7675,2
"209","Binalbagan",4.3579,8.9203,5.0077,11.3935,1
"210","Binalonan",4.6558,9.2031,5.3028,12.9231,2
"211","Binan",9.3553,11.8966,8.6283,14.3235,4
"212","Binangonan",7.3025,10.6494,7.4808,15.4071,4
"213","Bindoy",5.3831,8.8261,5.3954,12.1824,2
"214","Bingawan",5.8897,10.7392,4.9739,13.7091,2
"215","Binidayan",2.9258,6.5538,2.1719,9.2592,3
"216","Binmaley",4.5093,10.0306,5.2767,13.5078,2
"217","Binuangan",4.9744,8.8921,5.5296,13.738,2
"218","Biri",4.1352,8.391,5.3911,12.3144,1
"219","Bislig",5.7518,7.4447,6.4829,13.4772,2
"220","Boac",4.1327,9.0474,5.7339,13.3392,2
"221","Bobon",3.7665,3.9571,4.2752,7.8902,3
"222","Bocaue",5.9437,10.0757,6.2934,13.3497,2
"223","Bogo",4.9269,9.444,5.916,12.4994,2
