"","POSITION","shooting1","shooting2","others1","others2"
"1","C",-2.5173311473315,0.080736120146559,-1.66091080020397,-2.28192660550045
"2","F",0.182193033416003,-0.558269825715405,0.190529837569031,-0.560797550357453
"3","G",0.643832215825632,-0.207746987496119,0.806770029727789,0.84527023031719
